Date,HI
2013-12-15,-8.8
2013-12-22,-6.06
2013-12-29,-3.35
2014-01-05,-6.71
2014-01-12,-6.04
2014-01-19,-4.38
2014-01-26,-3.34
2014-02-02,-4.16
2014-02-09,-4.71
2014-02-16,-4.5
2014-02-23,-4.32
2014-03-02,-5.64
2014-03-09,-3.4
2014-03-16,-7.59
2014-03-23,-2.84
2014-03-30,-1.24
2014-04-06,7.92
2014-04-13,11.12
2014-04-20,15.23
2014-04-27,1.92
2014-05-04,-0.45
2014-05-11,-3.21
2014-05-18,-0.62
2014-05-25,2.25
2014-06-01,0.28
2014-06-08,-3.54
2014-06-15,-1.56
2014-06-22,-2.42
2014-06-29,-1.22
2014-07-06,0.88
2014-07-13,-9.59
2014-07-20,-8.4
2014-07-27,-9.35
2014-08-03,-14.25
2014-08-10,-15.57
2014-08-17,-13.5
2014-08-24,-13.85
2014-08-31,-12.83
2014-09-07,-16.41
2014-09-14,-22.23
2014-09-21,-21.81
2014-09-28,-23.77
2014-10-05,-28.31
2014-10-12,-29.43
2014-10-19,-33.22
2014-10-26,-33.71
2014-11-02,-28.1
2014-11-09,-27.95
2014-11-16,-22.63
2014-11-23,-25.91
2014-11-30,-29.02
2014-12-07,-23.94
2014-12-14,-26.38
2014-12-21,-24.97
2014-12-28,-26.36
2015-01-04,-28.23
2015-01-11,-31.08
2015-01-18,-34.88
2015-01-25,-32.43
2015-02-01,-26.44
2015-02-08,-21.55
2015-02-15,-22.2
2015-02-22,-25.31
2015-03-01,-23.2
2015-03-08,-21.63
2015-03-15,-21.2
2015-03-22,-16.26
2015-03-29,-20.67
2015-04-05,-21.47
2015-04-12,-18.77
2015-04-19,-14.08
2015-04-26,-10.6
2015-05-03,-9.77
2015-05-10,-10.08
2015-05-17,-11.14
2015-05-24,-10.29
2015-05-31,-13.39
2015-06-07,-13.88
2015-06-14,-16.48
2015-06-21,-17.02
2015-06-28,-12.88
2015-07-05,-14.8
2015-07-12,-12.98
2015-07-19,-23.39
2015-07-26,-31.77
2015-08-02,-29.33
2015-08-09,-29.16
2015-08-16,-34.15
2015-08-23,-40.98
2015-08-30,-37.52
2015-09-06,-39.65
2015-09-13,-32
2015-09-20,-29.58
2015-09-27,-33.28
2015-10-04,-31.03
2015-10-11,-27.28
2015-10-18,-23.3
2015-10-25,-24.57
2015-11-01,-25.54
2015-11-08,-25.49
2015-11-15,-32.16
2015-11-22,-29.58
2015-11-29,-28.23
2015-12-06,-28.72
2015-12-13,-29.31
2015-12-20,-30.32
2015-12-27,-31.02
2016-01-03,-32.42
2016-01-10,-33.2
2016-01-17,-33.46
2016-01-24,-35.13
2016-01-31,-35.18
2016-02-07,-35.92
2016-02-14,-38.89
2016-02-21,-33.24
2016-02-28,-33.08
2016-03-06,-26.51
2016-03-13,-20.92
2016-03-20,-23.25
2016-03-27,-28.15
2016-04-03,-27.07
2016-04-10,-29.39
2016-04-17,-25.03
2016-04-24,-25.85
2016-05-01,-26.11
2016-05-08,-29.25
2016-05-15,-29.79
2016-05-22,-31.03
2016-05-29,-29.2
2016-06-05,-24.09
2016-06-12,-20.2
2016-06-19,-22.52
2016-06-26,-26.4
2016-07-03,-25
2016-07-10,-21.36
2016-07-17,-12.14
2016-07-24,-3.72
2016-07-31,7.91
2016-08-07,12.79
2016-08-14,24.93
2016-08-21,32.13
2016-08-28,28.78
2016-09-04,31.19
2016-09-11,28.48
2016-09-18,17.62
2016-09-25,20.56
2016-10-02,25.46
2016-10-09,28.78
2016-10-16,22.35
2016-10-23,22.28
2016-10-30,19.85
2016-11-06,6.57
2016-11-13,20.13
2016-11-20,27.87
2016-11-27,20.53
2016-12-04,15.83
2016-12-11,20.91
2016-12-18,25.81
2016-12-25,25.85
2017-01-01,26.54
2017-01-08,37.46
2017-01-15,44.41
2017-01-22,52.23
2017-01-29,43.06
2017-02-05,44.54
2017-02-12,40.24
2017-02-19,34.02
2017-02-26,34.99
2017-03-05,29.1
2017-03-12,19.57
2017-03-19,30.95
2017-03-26,36.27
2017-04-02,27.99
2017-04-09,30.53
2017-04-16,13.29
2017-04-23,15.33
2017-04-30,20.52
2017-05-07,26.93
2017-05-14,27.81
2017-05-21,31.33
2017-05-28,36.89
2017-06-04,31.91
2017-06-11,24.71
2017-06-18,37.29
2017-06-25,26.51
2017-07-02,27.79
2017-07-09,27
2017-07-16,17.57
2017-07-23,18.12
2017-07-30,9.14
2017-08-06,11.78
2017-08-13,3.26
2017-08-20,-3.85
2017-08-27,-1.71
2017-09-03,-4.06
2017-09-10,-9.52
2017-09-17,-3.33
2017-09-24,-6.21
2017-10-01,-5.69
2017-10-08,-5.69
2017-10-15,-4.81
2017-10-22,-1.77
2017-10-29,-0.47
2017-11-05,10.11
2017-11-12,5.22
2017-11-19,-6.27
2017-11-26,-1.79
2017-12-03,0.69
2017-12-10,-10.62
2017-12-17,-9.5
2017-12-24,-11.66
2017-12-31,-15.53
2018-01-07,-6.76
2018-01-14,-6.35
2018-01-21,-4.64
2018-01-28,3.22
2018-02-04,0.72
2018-02-11,-7.29
2018-02-18,-10.47
2018-02-25,-10.91
2018-03-04,-14.07
2018-03-11,-8.66
2018-03-18,-12.09
2018-03-25,-14.68
2018-04-01,-10.94
2018-04-08,-13.79
2018-04-15,-12.81
2018-04-22,-11.56
2018-04-29,-14.6
2018-05-06,-8.22
2018-05-13,-3.55
2018-05-20,0.86
2018-05-27,-13.95
2018-06-03,-7.37
2018-06-10,-8.32
2018-06-17,-16.94
2018-06-24,-13.51
2018-07-01,-17.08
2018-07-08,-18.35
2018-07-15,-20.05
2018-07-22,-23.02
2018-07-29,-19.36
2018-08-05,-14.85
2018-08-12,-13.41
2018-08-19,-9.6
2018-08-26,-3.63
2018-09-02,-6.45
2018-09-09,2.13
2018-09-16,6.43
2018-09-23,6
2018-09-30,10.79
2018-10-07,12.14
2018-10-14,-2.94
2018-10-21,-7.56
2018-10-28,-13.67
2018-11-04,-12.32
2018-11-11,-12.02
2018-11-18,-1.22
2018-11-25,0.29
2018-12-02,-0.59
2018-12-09,10.95
2018-12-16,15.89
2018-12-23,11.31
2018-12-30,15.94
2019-01-06,7.06
2019-01-13,1.73
2019-01-20,7.08
2019-01-27,1.88
2019-02-03,0.69
2019-02-10,7.22
2019-02-17,8.28
2019-02-24,12.61
2019-03-03,5.51
2019-03-10,-4.81
2019-03-17,-4.02
2019-03-24,-8.43
2019-03-31,-5.28
2019-04-07,2.27
2019-04-14,2.24
2019-04-21,-2.13
2019-04-28,-2.93
2019-05-05,-3.18
2019-05-12,-17.62
2019-05-19,-17.95
2019-05-26,-19.41
2019-06-02,-17.1
2019-06-09,-17.59
2019-06-16,-6.12
2019-06-23,-0.35
2019-06-30,1.75
2019-07-07,5.56
2019-07-14,5.48
2019-07-21,6.72
2019-07-28,-5.05
2019-08-04,-9.09
2019-08-11,-16.28
2019-08-18,-16.11
2019-08-25,-14.7
2019-09-01,-11
2019-09-08,-9.82
2019-09-15,-9.03
2019-09-22,-9.48
2019-09-29,-15.52
2019-10-06,-19.78
2019-10-13,-7.8
2019-10-20,-9.89
2019-10-27,-2.58
2019-11-03,-3.84
2019-11-10,-9.13
2019-11-17,-11.6
2019-11-24,-19.01
2019-12-01,-16.67
2019-12-08,-17.6
2019-12-15,-18.35
2019-12-22,-13.11
2019-12-29,-10.61
2020-01-05,-11.13
2020-01-12,-13.13
2020-01-19,-14.9
2020-01-26,-19.09
2020-02-02,-27.06
2020-02-09,-22.98
2020-02-16,-20.77
2020-02-23,-27.58
2020-03-01,-29.66
2020-03-08,-27.21
2020-03-15,-42.85
2020-03-22,-51.69
2020-03-29,-43.94
2020-04-05,-43.62
2020-04-12,-37.93
2020-04-19,-38.32
2020-04-26,-37.61
2020-05-03,-35.33
2020-05-10,-32.21
2020-05-17,-31.96
2020-05-24,-29.39
2020-05-31,-22.37
2020-06-07,-12.57
2020-06-14,-19.88
2020-06-21,-20.74
2020-06-28,-25.05
2020-07-05,-21.33
2020-07-12,-23.44
2020-07-19,-21.62
2020-07-26,-18.65
2020-08-02,-12.81
2020-08-09,-5.4
2020-08-16,-1.81
2020-08-23,-16.3
2020-08-30,-11.67
2020-09-06,-15.06
2020-09-13,-18.21
2020-09-20,-20.43
2020-09-27,-23.66
2020-10-04,-20.34
2020-10-11,-18.41
2020-10-18,-22.2
2020-10-25,-16.03
2020-11-01,-17.23
2020-11-08,-13
2020-11-15,-2.15
2020-11-22,0.01
2020-11-29,5.72
2020-12-06,5.9
2020-12-13,7.01
2020-12-20,4.55
2020-12-27,2.22
2021-01-03,2.54
2021-01-10,15.81
2021-01-17,4.21
2021-01-24,5.55
2021-01-31,1.59
2021-02-07,14.04
2021-02-14,9.66
2021-02-21,12.25
2021-02-28,19.29
2021-03-07,15.63
2021-03-14,51.38
2021-03-21,114.1
2021-03-28,98.29
2021-04-04,84.52
2021-04-11,72.36
2021-04-18,75.74
2021-04-25,73.26
2021-05-02,82.51
2021-05-09,80.76
2021-05-16,82.17
2021-05-23,72.91
2021-05-30,71.73
2021-06-06,64.77
2021-06-13,60.85
2021-06-20,64.89
2021-06-27,75.45
2021-07-04,72.5
