Sector,Industry_Group,CO2/REV,KCGS_Grade,
Consumer Discretionary,Automobiles & Components,69,D,
Consumer Discretionary,Automobiles & Components,69,D,
Consumer Discretionary,Automobiles & Components,69,D,
Consumer Discretionary,Automobiles & Components,69,NULL,
Consumer Discretionary,Automobiles & Components,69,NULL,
Consumer Discretionary,Automobiles & Components,69,NULL,
Consumer Discretionary,Automobiles & Components,53,NULL,
Consumer Discretionary,Automobiles & Components,52,A,
Consumer Discretionary,Automobiles & Components,51,D,
Consumer Discretionary,Automobiles & Components,46,B+,
Consumer Discretionary,Automobiles & Components,33,B,
Consumer Discretionary,Automobiles & Components,29,NULL,
Consumer Discretionary,Automobiles & Components,22,A+,
Consumer Discretionary,Automobiles & Components,20,B+,
Consumer Discretionary,Automobiles & Components,11,A,
Consumer Discretionary,Retailing,73,B+,
Consumer Discretionary,Retailing,64,A,
Consumer Discretionary,Retailing,64,D,
Consumer Discretionary,Retailing,64,D,
Consumer Discretionary,Retailing,49,A,
Consumer Discretionary,Retailing,33,A,
Consumer Discretionary,Retailing,32,A,
Consumer Discretionary,Retailing,30,B+,
Consumer Discretionary,Retailing,30,D,
Consumer Discretionary,Retailing,30,D,
Consumer Discretionary,Retailing,27,B,
Consumer Discretionary,Retailing,22,A,
Consumer Discretionary,Retailing,21,B+,
Consumer Discretionary,Retailing,21,D,
Consumer Discretionary,Retailing,21,D,
Consumer Discretionary,Retailing,15,C,
Consumer Discretionary,Retailing,10,A,
Consumer Discretionary,Consumer Services,425,B,
Consumer Discretionary,Consumer Services,425,C,
Consumer Discretionary,Consumer Services,425,D,
Consumer Discretionary,Consumer Services,425,D,
Consumer Discretionary,Consumer Services,425,NULL,
Consumer Discretionary,Consumer Services,180,D,
Consumer Discretionary,Consumer Services,180,D,
Consumer Discretionary,Consumer Services,123,B+,
Consumer Discretionary,Consumer Services,123,D,
Consumer Discretionary,Consumer Services,83,D,
Consumer Discretionary,Consumer Services,75,B+,
Consumer Discretionary,Consumer Services,75,NULL,
Consumer Discretionary,Consumer Services,63,B+,
Consumer Staples,"Food, Beverage & Tobacco",96,B,
Consumer Staples,"Food, Beverage & Tobacco",96,B+,
Consumer Staples,"Food, Beverage & Tobacco",96,C,
Consumer Staples,"Food, Beverage & Tobacco",93,A,
Consumer Staples,"Food, Beverage & Tobacco",93,A,
Consumer Staples,"Food, Beverage & Tobacco",93,A,
Consumer Staples,"Food, Beverage & Tobacco",93,A,
Consumer Staples,"Food, Beverage & Tobacco",93,A,
Consumer Staples,"Food, Beverage & Tobacco",93,A,
Consumer Staples,"Food, Beverage & Tobacco",93,A,
Consumer Staples,"Food, Beverage & Tobacco",93,A,
Consumer Staples,"Food, Beverage & Tobacco",93,B,
Consumer Staples,"Food, Beverage & Tobacco",93,B,
Consumer Staples,"Food, Beverage & Tobacco",93,B,
Consumer Staples,"Food, Beverage & Tobacco",93,B,
Consumer Staples,"Food, Beverage & Tobacco",93,B,
Consumer Staples,"Food, Beverage & Tobacco",93,B,
Consumer Staples,"Food, Beverage & Tobacco",93,B,
Consumer Staples,"Food, Beverage & Tobacco",93,B,
Consumer Staples,"Food, Beverage & Tobacco",93,B+,
Consumer Staples,"Food, Beverage & Tobacco",93,B+,
Consumer Staples,"Food, Beverage & Tobacco",93,C,
Consumer Staples,"Food, Beverage & Tobacco",93,C,
Consumer Staples,"Food, Beverage & Tobacco",93,C,
Consumer Staples,"Food, Beverage & Tobacco",93,C,
Consumer Staples,"Food, Beverage & Tobacco",93,C,
Consumer Staples,"Food, Beverage & Tobacco",93,C,
Consumer Staples,"Food, Beverage & Tobacco",93,C,
Consumer Staples,"Food, Beverage & Tobacco",93,D,
Consumer Staples,"Food, Beverage & Tobacco",93,D,
Consumer Staples,"Food, Beverage & Tobacco",88,B+,
Consumer Staples,"Food, Beverage & Tobacco",88,D,
Consumer Staples,"Food, Beverage & Tobacco",74,A,
Consumer Staples,"Food, Beverage & Tobacco",74,A,
Consumer Staples,"Food, Beverage & Tobacco",74,B,
Consumer Staples,"Food, Beverage & Tobacco",74,B+,
Consumer Staples,"Food, Beverage & Tobacco",60,B+,
Consumer Staples,"Food, Beverage & Tobacco",49,B+,
Consumer Staples,"Food, Beverage & Tobacco",45,D,
Consumer Staples,"Food, Beverage & Tobacco",24,A,
Consumer Staples,"Food, Beverage & Tobacco",18,A,
Consumer Staples,Household & Personal Products,76,B,
Consumer Staples,Household & Personal Products,76,B+,
Consumer Staples,Household & Personal Products,76,B+,
Consumer Staples,Household & Personal Products,43,A,
Consumer Staples,Household & Personal Products,43,A,
Consumer Staples,Household & Personal Products,43,B,
Consumer Staples,Household & Personal Products,43,B+,
Consumer Staples,Household & Personal Products,43,B+,
Consumer Staples,Household & Personal Products,43,C,
Consumer Staples,Household & Personal Products,43,C,
Consumer Staples,Household & Personal Products,43,C,
Consumer Staples,Household & Personal Products,43,D,
Consumer Staples,Household & Personal Products,43,D,
Consumer Staples,Household & Personal Products,43,D,
Consumer Staples,Household & Personal Products,43,NULL,
Consumer Staples,Household & Personal Products,18,A,
Consumer Staples,Household & Personal Products,13,A,
Consumer Staples,Household & Personal Products,10,A,
Consumer Staples,Food & Staples Retailing,64,D,
Consumer Staples,Food & Staples Retailing,46,A,
Consumer Staples,Food & Staples Retailing,46,C,
Consumer Staples,Food & Staples Retailing,33,A,
Consumer Staples,Food & Staples Retailing,31,A,
Consumer Staples,Food & Staples Retailing,31,A,
Energy,Energy,695,A,
Energy,Energy,695,A,
Energy,Energy,695,B+,
Energy,Energy,589,A,
Energy,Energy,529,A,
Energy,Energy,439,C,
Energy,Energy,385,A,
Financials,Diversified Financials,31,B,
Financials,Diversified Financials,31,D,
Financials,Diversified Financials,5,A+,
Financials,Diversified Financials,5,B,
Financials,Diversified Financials,5,B,
Financials,Diversified Financials,5,B+,
Financials,Diversified Financials,5,B+,
Financials,Diversified Financials,5,C,
Financials,Diversified Financials,5,C,
Financials,Diversified Financials,5,C,
Financials,Diversified Financials,5,C,
Financials,Diversified Financials,5,D,
Financials,Diversified Financials,5,D,
Financials,Diversified Financials,5,D,
Financials,Diversified Financials,5,D,
Financials,Diversified Financials,5,D,
Financials,Diversified Financials,5,D,
Financials,Diversified Financials,5,D,
Financials,Diversified Financials,5,D,
Financials,Diversified Financials,5,D,
Financials,Diversified Financials,5,D,
Financials,Diversified Financials,5,NULL,
Financials,Diversified Financials,4,C,
Financials,Diversified Financials,3,D,
Financials,Diversified Financials,2,D,
Financials,Diversified Financials,2,D,
Financials,Diversified Financials,1,A,
Financials,Diversified Financials,1,A,
Financials,Diversified Financials,1,A,
Financials,Diversified Financials,0,C,
Financials,Insurance,4,C,
Financials,Insurance,4,C,
Financials,Insurance,3,A,
Financials,Insurance,2,A,
Financials,Insurance,2,B,
Financials,Insurance,2,B,
Financials,Insurance,2,A,
Financials,Insurance,2,A,
Financials,Insurance,1,B,
Financials,Insurance,1,D,
Financials,Insurance,1,A+,
Financials,Insurance,0,A+,
Financials,Banks,16,NULL,
Financials,Banks,11,A,
Financials,Banks,9,B,
Financials,Banks,9,A+,
Financials,Banks,8,A,
Financials,Banks,7,A,
Financials,Banks,7,A,
Financials,Banks,4,A+,
Financials,Banks,4,A+,
Financials,Banks,2,A,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,A,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,B,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,B,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,B+,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,B+,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,B+,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,B+,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,B+,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,B+,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,B+,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,B+,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,B+,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,C,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,C,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,C,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,C,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",151,NULL,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",117,A,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",96,B+,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",51,NULL,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",44,B+,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",44,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",44,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",44,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",38,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",25,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",25,B+,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,B+,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,B+,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,C,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,C,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,C,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,NULL,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,NULL,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,C,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",21,NULL,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",19,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",19,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",18,D,
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",11,B+,
Health Care,Health Care Equipment & Services,158,C,
Health Care,Health Care Equipment & Services,158,NULL,
Health Care,Health Care Equipment & Services,36,D,
Health Care,Health Care Equipment & Services,21,C,
Health Care,Health Care Equipment & Services,21,D,
Health Care,Health Care Equipment & Services,21,D,
Health Care,Health Care Equipment & Services,21,D,
Health Care,Health Care Equipment & Services,21,D,
Health Care,Health Care Equipment & Services,18,D,
Health Care,Health Care Equipment & Services,18,NULL,
Health Care,Health Care Equipment & Services,18,D,
Industrials,Capital Goods,222,A,
Industrials,Capital Goods,222,B,
Industrials,Capital Goods,222,B+,
Industrials,Capital Goods,222,B+,
Industrials,Capital Goods,222,C,
Industrials,Capital Goods,222,C,
Industrials,Capital Goods,222,C,
Industrials,Capital Goods,222,NULL,
Industrials,Capital Goods,195,B,
Industrials,Capital Goods,195,B,
Industrials,Capital Goods,195,D,
Industrials,Capital Goods,195,NULL,
Industrials,Capital Goods,162,A+,
Industrials,Capital Goods,121,A,
Industrials,Capital Goods,86,B+,
Industrials,Capital Goods,56,B,
Industrials,Capital Goods,51,B,
Industrials,Capital Goods,47,A,
Industrials,Capital Goods,47,A,
Industrials,Capital Goods,47,B,
Industrials,Capital Goods,47,B,
Industrials,Capital Goods,47,B,
Industrials,Capital Goods,47,B,
Industrials,Capital Goods,47,B+,
Industrials,Capital Goods,47,B+,
Industrials,Capital Goods,47,C,
Industrials,Capital Goods,47,C,
Industrials,Capital Goods,47,C,
Industrials,Capital Goods,47,C,
Industrials,Capital Goods,47,C,
Industrials,Capital Goods,47,C,
Industrials,Capital Goods,47,C,
Industrials,Capital Goods,47,C,
Industrials,Capital Goods,47,C,
Industrials,Capital Goods,47,C,
Industrials,Capital Goods,47,D,
Industrials,Capital Goods,47,D,
Industrials,Capital Goods,47,D,
Industrials,Capital Goods,47,D,
Industrials,Capital Goods,47,D,
Industrials,Capital Goods,47,NULL,
Industrials,Capital Goods,47,NULL,
Industrials,Capital Goods,40,A,
Industrials,Capital Goods,39,A,
Industrials,Capital Goods,34,B,
Industrials,Capital Goods,34,B,
Industrials,Capital Goods,34,B,
Industrials,Capital Goods,34,B,
Industrials,Capital Goods,34,B,
Industrials,Capital Goods,34,B+,
Industrials,Capital Goods,34,C,
Industrials,Capital Goods,34,C,
Industrials,Capital Goods,34,D,
Industrials,Capital Goods,34,D,
Industrials,Capital Goods,34,D,
Industrials,Capital Goods,34,D,
Industrials,Capital Goods,34,D,
Industrials,Capital Goods,34,D,
Industrials,Capital Goods,34,D,
Industrials,Capital Goods,34,D,
Industrials,Capital Goods,32,A,
Industrials,Capital Goods,32,B,
Industrials,Capital Goods,32,B,
Industrials,Capital Goods,32,B,
Industrials,Capital Goods,32,C,
Industrials,Capital Goods,32,C,
Industrials,Capital Goods,32,C,
Industrials,Capital Goods,32,C,
Industrials,Capital Goods,32,C,
Industrials,Capital Goods,32,D,
Industrials,Capital Goods,31,A,
Industrials,Capital Goods,31,B,
Industrials,Capital Goods,31,B+,
Industrials,Capital Goods,29,B,
Industrials,Capital Goods,28,A,
Industrials,Capital Goods,28,A,
Industrials,Capital Goods,28,A,
Industrials,Capital Goods,28,B,
Industrials,Capital Goods,28,B,
Industrials,Capital Goods,28,B+,
Industrials,Capital Goods,28,C,
Industrials,Capital Goods,28,NULL,
Industrials,Capital Goods,26,A,
Industrials,Capital Goods,25,A,
Industrials,Capital Goods,25,B,
Industrials,Capital Goods,25,B+,
Industrials,Capital Goods,25,C,
Industrials,Capital Goods,25,C,
Industrials,Capital Goods,25,C,
Industrials,Capital Goods,25,D,
Industrials,Capital Goods,25,D,
Industrials,Capital Goods,25,D,
Industrials,Capital Goods,25,NULL,
Industrials,Capital Goods,23,C,
Industrials,Capital Goods,22,B+,
Industrials,Capital Goods,22,B+,
Industrials,Capital Goods,21,A,
Industrials,Capital Goods,21,B,
Industrials,Capital Goods,21,B+,
Industrials,Capital Goods,21,D,
Industrials,Capital Goods,21,D,
Industrials,Capital Goods,21,D,
Industrials,Capital Goods,21,D,
Industrials,Capital Goods,21,C,
Industrials,Capital Goods,19,B+,
Industrials,Capital Goods,18,A,
Industrials,Capital Goods,17,C,
Industrials,Capital Goods,17,A,
Industrials,Capital Goods,17,A+,
Industrials,Capital Goods,16,B+,
Industrials,Capital Goods,15,A,
Industrials,Capital Goods,10,A,
Industrials,Capital Goods,9,B+,
Industrials,Capital Goods,7,A,
Industrials,Capital Goods,6,A,
Industrials,Capital Goods,6,A,
Industrials,Capital Goods,5,A,
Industrials,Capital Goods,3,A,
Industrials,Capital Goods,3,A,
Industrials,Capital Goods,2,B+,
Industrials,Capital Goods,1,A+,
Industrials,Capital Goods,0,A,
Industrials,Transportation,1097,A,
Industrials,Transportation,987,A,
Industrials,Transportation,987,B+,
Industrials,Transportation,987,C,
Industrials,Transportation,987,C,
Industrials,Transportation,987,C,
Industrials,Transportation,856,B+,
Industrials,Transportation,856,D,
Industrials,Transportation,856,D,
Industrials,Transportation,833,A,
Industrials,Transportation,352,B+,
Industrials,Transportation,235,B+,
Industrials,Transportation,206,A,
Industrials,Transportation,116,B,
Industrials,Transportation,116,B,
Industrials,Transportation,116,D,
Industrials,Transportation,102,A,
Industrials,Transportation,102,B,
Industrials,Transportation,102,NULL,
Industrials,Transportation,23,A,
Industrials,Commercial  & Professional Services,427,B,
Industrials,Commercial  & Professional Services,427,B,
Industrials,Commercial  & Professional Services,427,B+,
Industrials,Commercial  & Professional Services,427,C,
Industrials,Commercial  & Professional Services,13,B,
Industrials,Commercial  & Professional Services,10,B,
Industrials,Commercial  & Professional Services,5,B,
Information Technology,Semiconductors & Semiconductor Equipment,563,A,
Information Technology,Semiconductors & Semiconductor Equipment,563,B,
Information Technology,Semiconductors & Semiconductor Equipment,563,B,
Information Technology,Semiconductors & Semiconductor Equipment,563,B,
Information Technology,Semiconductors & Semiconductor Equipment,563,B,
Information Technology,Semiconductors & Semiconductor Equipment,563,B,
Information Technology,Semiconductors & Semiconductor Equipment,563,B,
Information Technology,Semiconductors & Semiconductor Equipment,563,B,
Information Technology,Semiconductors & Semiconductor Equipment,563,B+,
Information Technology,Semiconductors & Semiconductor Equipment,563,C,
Information Technology,Semiconductors & Semiconductor Equipment,563,C,
Information Technology,Semiconductors & Semiconductor Equipment,563,D,
Information Technology,Semiconductors & Semiconductor Equipment,563,D,
Information Technology,Semiconductors & Semiconductor Equipment,563,D,
Information Technology,Semiconductors & Semiconductor Equipment,563,D,
Information Technology,Semiconductors & Semiconductor Equipment,563,D,
Information Technology,Semiconductors & Semiconductor Equipment,563,D,
Information Technology,Semiconductors & Semiconductor Equipment,563,NULL,
Information Technology,Semiconductors & Semiconductor Equipment,563,NULL,
Information Technology,Semiconductors & Semiconductor Equipment,563,NULL,
Information Technology,Semiconductors & Semiconductor Equipment,563,NULL,
Information Technology,Technology Hardware & Equipment,303,B,
Information Technology,Semiconductors & Semiconductor Equipment,257,A,
Information Technology,Technology Hardware & Equipment,159,A,
Information Technology,Technology Hardware & Equipment,158,B,
Information Technology,Technology Hardware & Equipment,158,B,
Information Technology,Technology Hardware & Equipment,158,B,
Information Technology,Technology Hardware & Equipment,158,B,
Information Technology,Technology Hardware & Equipment,158,B+,
Information Technology,Technology Hardware & Equipment,158,B+,
Information Technology,Technology Hardware & Equipment,158,B+,
Information Technology,Technology Hardware & Equipment,158,C,
Information Technology,Technology Hardware & Equipment,158,C,
Information Technology,Technology Hardware & Equipment,158,C,
Information Technology,Technology Hardware & Equipment,158,C,
Information Technology,Technology Hardware & Equipment,158,C,
Information Technology,Technology Hardware & Equipment,158,C,
Information Technology,Technology Hardware & Equipment,158,C,
Information Technology,Technology Hardware & Equipment,158,C,
Information Technology,Technology Hardware & Equipment,158,C,
Information Technology,Technology Hardware & Equipment,158,D,
Information Technology,Technology Hardware & Equipment,158,D,
Information Technology,Technology Hardware & Equipment,158,D,
Information Technology,Technology Hardware & Equipment,158,NULL,
Information Technology,Technology Hardware & Equipment,158,NULL,
Information Technology,Technology Hardware & Equipment,158,NULL,
Information Technology,Technology Hardware & Equipment,145,A,
Information Technology,Semiconductors & Semiconductor Equipment,136,A,
Information Technology,Semiconductors & Semiconductor Equipment,136,A,
Information Technology,Semiconductors & Semiconductor Equipment,136,B,
Information Technology,Semiconductors & Semiconductor Equipment,136,B,
Information Technology,Semiconductors & Semiconductor Equipment,136,B,
Information Technology,Semiconductors & Semiconductor Equipment,136,B,
