Date,KOSPI
2021-03-21,112.23
2021-03-28,84.44
2021-04-04,87.05
2021-04-11,76.79
2021-04-18,79.09
2021-04-25,72.75
2021-05-02,67.43
2021-05-09,72.35
2021-05-16,69.52
2021-05-23,63.8
2021-05-30,62.5
2021-06-06,54.45
2021-06-13,53.49
2021-06-20,57.96
2021-06-27,61.15
2021-07-04,56.97
