Risk,Return,Type
18.97,-15.45,Equity_Country
18.89,1.65,Equity_Country
18.87,2.77,Equity_Country
18.87,-8.67,Equity_Country
18.86,2.51,Equity_Country
18.84,3.6,Equity_Country
18.8,-0.74,Equity_Country
18.77,-3.03,Equity_Country
18.75,-2.14,Equity_Country
18.75,-0.11,Equity_Country
18.73,3.43,Equity_Country
18.73,11.76,Equity_Country
18.72,0,Equity_Country
18.71,13.55,Equity_Country
18.71,12.04,Equity_Country
18.69,5.55,Equity_Country
18.69,4.28,Equity_Country
18.68,4.22,Equity_Country
18.68,10.53,Equity_Country
18.66,9.63,Equity_Country
18.65,0.43,Equity_Country
18.64,1.71,Equity_Country
18.64,8.35,Equity_Country
18.63,7.92,Equity_Country
18.62,10.28,Equity_Country
18.61,13.67,Equity_Country
18.6,20.61,Equity_Country
18.59,9.02,Equity_Country
18.58,10.27,Equity_Country
18.55,0.54,Equity_Country
18.55,7.46,Equity_Country
18.54,5.43,Equity_Country
18.53,1.34,Equity_Country
18.53,0.91,Equity_Country
18.52,0.34,Equity_Country
18.5,14.34,Equity_Country
18.49,11.49,Equity_Country
18.47,18.28,Equity_Country
18.47,11.54,Equity_Country
18.44,14.37,Equity_Country
18.44,11.56,Equity_Country
18.43,33.16,Equity_Country
18.43,30.38,Equity_Country
5.44,-3.75,Equity_Country
5.44,-0.36,Equity_Country
31.26,9.91,Equity_Sector
31.23,8.74,Equity_Sector
31.18,7.37,Equity_Sector
31.08,5.44,Equity_Sector
31.05,2.61,Equity_Sector
29.7,-22.43,Equity_Sector
29.68,6.16,Equity_Sector
29.65,-13.91,Equity_Sector
29.55,9.14,Equity_Sector
29.46,26.24,Equity_Sector
29.38,-0.7,Equity_Sector
29.34,2.62,Equity_Sector
29.29,21.63,Equity_Sector
29.27,28.85,Equity_Sector
29.24,2.95,Equity_Sector
29.21,34.11,Equity_Sector
29.19,13.44,Equity_Sector
29.14,-2.69,Equity_Sector
29.13,12.11,Equity_Sector
29.11,3.79,Equity_Sector
29.1,24.24,Equity_Sector
29.09,-7.9,Equity_Sector
29.06,9.2,Equity_Sector
21.87,-9.04,Equity_Sector
21.86,6.62,Equity_Sector
21.82,6.44,Equity_Sector
21.82,3.91,Equity_Sector
21.8,1.1,Equity_Sector
21.8,-0.39,Equity_Sector
21.79,18.77,Equity_Sector
21.73,47.38,Equity_Sector
21.73,29.84,Equity_Sector
21.7,14.57,Equity_Sector
21.69,14.61,Equity_Sector
21.68,17.56,Equity_Sector
21.65,8.75,Equity_Sector
21.64,20.81,Equity_Sector
21.64,37.82,Equity_Sector
21.63,39.75,Equity_Sector
21.63,54.41,Equity_Sector
21.63,-7.65,Equity_Sector
21.62,9.67,Equity_Sector
21.62,35.48,Equity_Sector
21.61,7.81,Equity_Sector
21.6,54.57,Equity_Sector
21.6,31.43,Equity_Sector
21.58,10.55,Equity_Sector
21.58,-2.38,Equity_Sector
21.57,38.06,Equity_Sector
21.56,8.1,Equity_Sector
21.56,4.54,Equity_Sector
21.51,6.07,Equity_Sector
21.5,36.54,Equity_Sector
21.5,-37.38,Equity_Sector
21.5,13.95,Equity_Sector
21.47,9.7,Equity_Sector
21.44,6.32,Equity_Sector
21.43,6.54,Equity_Sector
21.4,44.38,Equity_Sector
21.4,11.36,Equity_Sector
21.37,14.29,Equity_Sector
21.35,20.76,Equity_Sector
21.33,33.49,Equity_Sector
21.33,41.03,Equity_Sector
21.3,50.49,Equity_Sector
21.26,36.35,Equity_Sector
21.24,21.23,Equity_Sector
21.24,20.9,Equity_Sector
21.23,2.21,Equity_Sector
21.23,2.14,Equity_Sector
21.22,-3.11,Equity_Sector
21.21,9.61,Equity_Sector
21.2,9.92,Equity_Sector
21.18,0.01,Equity_Sector
21.17,4.98,Equity_Sector
21.16,-1.06,Equity_Sector
21.16,2.57,Equity_Sector
21.14,3.86,Equity_Sector
21.13,28.09,Equity_Sector
21.13,9.82,Equity_Sector
21.1,6.3,Equity_Sector
21.1,-2.26,Equity_Sector
21.1,7.29,Equity_Sector
21.06,16.24,Equity_Sector
21.06,3.08,Equity_Sector
21.06,9.6,Equity_Sector
21.03,7.84,Equity_Sector
21.03,2.58,Equity_Sector
21.02,9.4,Equity_Sector
21.02,2.52,Equity_Sector
21.01,4.57,Equity_Sector
20.99,2.8,Equity_Sector
20.99,3.2,Equity_Sector
20.99,4.34,Equity_Sector
20.97,12.23,Equity_Sector
20.97,14.33,Equity_Sector
20.93,5.45,Equity_Sector
20.92,8.88,Equity_Sector
20.92,0.97,Equity_Sector
20.92,3.83,Equity_Sector
20.88,2.28,Equity_Sector
20.88,4.86,Equity_Sector
20.84,7.01,Equity_Sector
20.83,3.84,Equity_Sector
20.79,-0.03,Equity_Sector
20.78,4.48,Equity_Sector
20.78,10.2,Equity_Sector
20.76,7.34,Equity_Sector
20.75,-2.69,Equity_Sector
20.75,20.98,Equity_Sector
20.74,18.24,Equity_Sector
20.71,41.66,Equity_Sector
20.7,-1.56,Equity_Sector
20.69,1.95,Equity_Sector
20.67,2.13,Equity_Sector
20.63,10.99,Equity_Sector
20.62,4.33,Equity_Sector
20.61,55.19,Equity_Sector
20.56,20.21,Equity_Sector
20.56,-39.8,Equity_Sector
20.55,30.45,Equity_Sector
20.54,49.71,Equity_Sector
20.49,29.73,Equity_Sector
20.49,38.84,Equity_Sector
20.47,-0.07,Equity_Sector
20.47,-5.84,Equity_Sector
20.45,1.95,Equity_Sector
20.43,16.49,Equity_Sector
20.41,10.78,Equity_Sector
20.41,3.65,Equity_Sector
20.41,14.35,Equity_Sector
20.4,-19.25,Equity_Sector
20.39,-0.47,Equity_Sector
20.38,8.58,Equity_Sector
20.38,-0.71,Equity_Sector
20.37,43.13,Equity_Sector
20.37,7.27,Equity_Sector
20.35,42.25,Equity_Sector
20.33,39.14,Equity_Sector
20.33,39.16,Equity_Sector
20.31,14.59,Equity_Sector
20.31,18.07,Equity_Sector
20.3,13.44,Equity_Sector
20.3,7.84,Equity_Sector
20.28,12.73,Equity_Sector
20.28,2.2,Equity_Sector
20.27,0.65,Equity_Sector
20.27,4.44,Equity_Sector
20.26,1.34,Equity_Sector
20.25,4.03,Equity_Sector
20.21,41.12,Equity_Sector
20.2,42.52,Equity_Sector
20.18,37.53,Equity_Sector
20.18,40.73,Equity_Sector
20.17,46.58,Equity_Sector
20.14,20.52,Equity_Sector
20.14,15.44,Equity_Sector
20.1,7.96,Equity_Sector
20.1,9.98,Equity_Sector
20.09,9.78,Equity_Sector
20.09,5.97,Equity_Sector
20.07,-4.59,Equity_Sector
20.04,-17.98,Equity_Sector
20.04,5.75,Equity_Sector
20.02,22.41,Equity_Sector
19.98,20,Equity_Sector
19.98,13.04,Equity_Sector
19.98,34.95,Equity_Sector
19.98,26.91,Equity_Sector
19.98,32.54,Equity_Sector
19.98,11.97,Equity_Sector
19.98,49.56,Equity_Sector
19.96,55.36,Equity_Sector
19.95,5.29,Equity_Sector
19.94,-4.17,Equity_Sector
19.93,6.6,Equity_Sector
19.91,0.76,Equity_Sector
19.9,2.76,Equity_Sector
19.9,122.49,Equity_Sector
19.89,-6.78,Equity_Sector
19.89,-2.92,Equity_Sector
19.88,10.47,Equity_Sector
19.86,-0.7,Equity_Sector
19.85,8.12,Equity_Sector
19.83,6.06,Equity_Sector
19.83,4.37,Equity_Sector
19.82,15.94,Equity_Sector
19.82,-2.32,Equity_Sector
19.82,2.39,Equity_Sector
19.78,33.67,Equity_Sector
19.58,27.61,Equity_Sector
19.58,10.88,Equity_Sector
19.58,3.36,Equity_Sector
19.56,3.33,Equity_Sector
19.35,14.14,Equity_Sector
19.34,26.36,Equity_Sector
10.75,12.41,Equity_Sector
10.74,12.19,Equity_Sector
10.73,18.06,Equity_Sector
10.71,33.15,Equity_Sector
10.68,0.02,Equity_Sector
10.67,-0.48,Equity_Sector
10.67,10.78,Equity_Sector
10.66,14.76,Equity_Sector
10.61,63.7,Equity_Sector
10.55,17.33,Equity_Sector
10.53,16.78,Equity_Sector
10.51,9.55,Equity_Sector
10.49,12.02,Equity_Sector
10.46,14.23,Equity_Sector
10.43,10.27,Equity_Sector
10.38,15.24,Equity_Sector
10.37,34.02,Equity_Sector
10.36,-20.27,Equity_Sector
10.33,12.66,Equity_Sector
10.33,16.25,Equity_Sector
10.31,-7.87,Equity_Sector
10.31,-9.74,Equity_Sector
10.31,9.14,Equity_Sector
10.31,6.96,Equity_Sector
10.29,23.12,Equity_Sector
10.25,20.49,Equity_Sector
10.22,7.72,Equity_Sector
10.18,22.16,Equity_Sector
10.17,10.99,Equity_Sector
10.15,9.26,Equity_Sector
10.14,10.25,Equity_Sector
10.1,10.96,Equity_Sector
10.08,5.31,Equity_Sector
10.06,17.83,Equity_Sector
10.02,11.51,Equity_Sector
10.02,11.51,Equity_Sector
9.99,12.34,Equity_Sector
9.97,14.07,Equity_Sector
9.97,16.12,Equity_Sector
9.96,13,Equity_Sector
9.95,17.78,Equity_Sector
9.94,12.37,Equity_Sector
9.92,20.54,Equity_Sector
9.91,9.53,Equity_Sector
9.88,9.83,Equity_Sector
9.84,8.98,Equity_Sector
9.83,13.82,Equity_Sector
9.83,7.79,Equity_Sector
9.82,9.07,Equity_Sector
9.76,8.18,Equity_Sector
9.76,7.63,Equity_Sector
9.69,10.53,Equity_Sector
9.68,6.6,Equity_Sector
9.59,7.18,Equity_Sector
9.53,-0.79,Equity_Sector
9.52,5.37,Equity_Sector
9.51,6.23,Equity_Sector
9.49,0.69,Equity_Sector
9.49,1.71,Equity_Sector
9.45,3.49,Equity_Sector
9.44,3.51,Equity_Sector
9.41,-3.75,Equity_Sector
9.38,4.44,Equity_Sector
9.38,3.94,Equity_Sector
9.37,4.37,Equity_Sector
9.37,-2.58,Equity_Sector
9.36,-6.95,Equity_Sector
9.35,-3.89,Equity_Sector
9.35,4.36,Equity_Sector
9.29,8.42,Equity_Sector
9.26,14.11,Equity_Sector
9.25,10.62,Equity_Sector
9.2,6.54,Equity_Sector
9.18,7.13,Equity_Sector
9.13,6.78,Equity_Sector
9.07,6.48,Equity_Sector
9.03,15.73,Equity_Sector
9.02,11.96,Equity_Sector
9.02,0.6,Equity_Sector
9.01,6.75,Equity_Sector
9,9.39,Equity_Sector
8.99,6.28,Equity_Sector
8.98,15.9,Equity_Sector
8.96,20.56,Equity_Sector
8.91,15.51,Equity_Sector
8.91,21.23,Equity_Sector
8.89,13.77,Equity_Sector
8.89,11.12,Equity_Sector
8.86,10.75,Equity_Sector
8.82,10.12,Equity_Sector
8.78,12.36,Equity_Sector
8.78,11.69,Equity_Sector
8.72,12.52,Equity_Sector
8.71,15.83,Equity_Sector
8.6,16.28,Equity_Sector
8.55,17.56,Equity_Sector
8.48,13.48,Equity_Sector
8.48,16.02,Equity_Sector
8.45,10.74,Equity_Sector
8.41,9.83,Equity_Sector
8.32,26.36,Equity_Sector
8.32,8.96,Equity_Sector
8.28,22.91,Equity_Sector
8.27,15.08,Equity_Sector
8.22,11.74,Equity_Sector
8.11,11.63,Equity_Sector
8.1,11.13,Equity_Sector
8.1,10.38,Equity_Sector
8.09,9.81,Equity_Sector
8.08,13.98,Equity_Sector
8.04,10.84,Equity_Sector
8.03,15.67,Equity_Sector
8.02,10.83,Equity_Sector
8,32.17,Equity_Sector
8,17.21,Equity_Sector
7.92,15.14,Equity_Sector
7.85,15.55,Equity_Sector
7.85,17.82,Equity_Sector
7.84,13.95,Equity_Sector
7.83,15.24,Equity_Sector
7.78,16.17,Equity_Sector
7.78,16.31,Equity_Sector
7.74,18.19,Equity_Sector
7.73,14.9,Equity_Sector
7.72,26.32,Equity_Sector
7.64,31.13,Equity_Sector
7.63,22.92,Equity_Sector
7.62,45.73,Equity_Sector
7.6,37.5,Equity_Sector
7.57,6.81,Equity_Sector
7.56,17.78,Equity_Sector
7.53,17.56,Equity_Sector
7.5,13.74,Equity_Sector
7.48,8.38,Equity_Sector
7.46,6.26,Equity_Sector
7.38,29.27,Equity_Sector
7.37,19.82,Equity_Sector
7.37,25.41,Equity_Sector
7.34,11.91,Equity_Sector
7.33,27.9,Equity_Sector
7.29,25.25,Equity_Sector
7.29,11.21,Equity_Sector
7.28,11.81,Equity_Sector
7.27,10.88,Equity_Sector
7.25,9.32,Equity_Sector
7.21,10.56,Equity_Sector
7.19,9.9,Equity_Sector
7.16,13.07,Equity_Sector
7.14,8.89,Equity_Sector
7.13,9.24,Equity_Sector
7.07,11.87,Equity_Sector
7.04,14.99,Equity_Sector
7.03,7.45,Equity_Sector
7.02,24.13,Equity_Sector
7,-28.11,Equity_Sector
6.99,-15.2,Equity_Sector
6.98,-11.27,Equity_Sector
6.97,-18.82,Equity_Sector
6.95,-0.33,Equity_Sector
6.92,-2.59,Equity_Sector
6.91,-5.67,Equity_Sector
6.91,-1.41,Equity_Sector
6.87,-1.88,Equity_Sector
6.85,-6.67,Equity_Sector
6.85,-5.02,Equity_Sector
6.78,3.48,Equity_Sector
6.76,47.52,Equity_Sector
6.7,36.92,Equity_Sector
6.68,39.48,Equity_Sector
6.65,32.29,Equity_Sector
6.64,-5.64,Equity_Sector
6.63,-0.16,Equity_Sector
6.59,-0.4,Equity_Sector
6.56,6.13,Equity_Sector
6.54,-2.94,Equity_Sector
6.54,3.59,Equity_Sector
6.54,6.5,Equity_Sector
6.48,5.67,Equity_Sector
6.46,9.32,Equity_Sector
6.44,12.31,Equity_Sector
6.44,10.2,Equity_Sector
6.44,7.27,Equity_Sector
6.39,12.62,Equity_Sector
6.37,8.85,Equity_Sector
6.36,7.66,Equity_Sector
6.35,6.4,Equity_Sector
6.26,5.9,Equity_Sector
6.26,10.76,Equity_Sector
6.22,4.93,Equity_Sector
6.2,8.2,Equity_Sector
6.18,13.03,Equity_Sector
6.16,6.28,Equity_Sector
6.12,7.5,Equity_Sector
6.11,5.01,Equity_Sector
6.1,5.82,Equity_Sector
6.08,12.03,Equity_Sector
6.03,10.02,Equity_Sector
6.02,10.28,Equity_Sector
5.99,6.81,Equity_Sector
5.96,7.19,Equity_Sector
5.91,6.25,Equity_Sector
5.89,5.36,Equity_Sector
5.88,10.16,Equity_Sector
5.81,1.4,Equity_Sector
5.8,5.64,Equity_Sector
5.77,6.47,Equity_Sector
5.72,29.76,Equity_Sector
5.71,68.83,Equity_Sector
5.71,16.85,Equity_Sector
5.69,53.89,Equity_Sector
5.67,26.97,Equity_Sector
5.67,18.61,Equity_Sector
5.65,17.45,Equity_Sector
5.65,17.57,Equity_Sector
5.65,29.49,Equity_Sector
5.62,16.58,Equity_Sector
5.61,56.17,Equity_Sector
5.6,21.15,Equity_Sector
5.59,20.61,Equity_Sector
5.59,13.23,Equity_Sector
5.58,16.35,Equity_Sector
5.57,3.63,Equity_Sector
5.57,8.41,Equity_Sector
5.54,12.02,Equity_Sector
5.54,15.85,Equity_Sector
5.53,10.83,Equity_Sector
5.52,4.99,Equity_Sector
5.52,4.74,Equity_Sector
5.52,5.51,Equity_Sector
5.51,5.73,Equity_Sector
5.5,5.6,Equity_Sector
5.49,5.92,Equity_Sector
5.48,5.69,Equity_Sector
5.46,6.94,Equity_Sector
5.46,8.05,Equity_Sector
5.45,12.17,Equity_Sector
5.44,9.59,Equity_Sector
32.98,-1.91,Equity_Style
32.9,8.01,Equity_Style
29.71,3.22,Equity_Style
22.63,4.71,Equity_Style
22.63,14.35,Equity_Style
22.59,0.49,Equity_Style
22.58,-3.57,Equity_Style
22.58,1.56,Equity_Style
22.56,10.65,Equity_Style
22.55,4.95,Equity_Style
22.52,6.79,Equity_Style
22.5,31.88,Equity_Style
22.5,33.43,Equity_Style
22.5,20.69,Equity_Style
22.48,20.32,Equity_Style
22.43,32.82,Equity_Style
22.39,7.34,Equity_Style
22.39,6.88,Equity_Style
22.09,39.98,Equity_Style
22.08,11.61,Equity_Style
22,17.73,Equity_Style
22,21.66,Equity_Style
21.99,9.67,Equity_Style
21.98,2.05,Equity_Style
21.95,4.2,Equity_Style
19.42,6.85,Equity_Style
19.41,7.68,Equity_Style
19.4,7.4,Equity_Style
19.4,14.97,Equity_Style
19.35,0.17,Equity_Style
18.41,6.28,Equity_Style
18.39,19.36,Equity_Style
18.38,8.69,Equity_Style
18.36,5.24,Equity_Style
18.35,31.57,Equity_Style
18.34,15.08,Equity_Style
18.34,6.32,Equity_Style
18.31,4.16,Equity_Style
18.3,7.33,Equity_Style
18.28,4.14,Equity_Style
18.27,5.77,Equity_Style
18.25,4.6,Equity_Style
18.2,-1.69,Equity_Style
18.19,6.33,Equity_Style
18.18,6.32,Equity_Style
18.16,7.41,Equity_Style
18.16,12.18,Equity_Style
18.14,28.71,Equity_Style
18.12,6.72,Equity_Style
18.11,28.24,Equity_Style
18.1,-23.1,Equity_Style
18.09,7.55,Equity_Style
18.07,9.85,Equity_Style
18.05,16.9,Equity_Style
18.04,14.32,Equity_Style
18,15.21,Equity_Style
18,11.03,Equity_Style
17.96,10.57,Equity_Style
17.94,11.72,Equity_Style
17.93,24.68,Equity_Style
17.92,9.26,Equity_Style
17.9,19.69,Equity_Style
