Date,IT
2019-10-06,-0.19
2019-10-13,7.16
2019-10-20,5.59
2019-10-27,15.07
2019-11-03,13.89
2019-11-10,11.56
2019-11-17,13.34
2019-11-24,13.24
2019-12-01,6.33
2019-12-08,13.27
2019-12-15,19.02
2019-12-22,28.19
2019-12-29,28.05
2020-01-05,30.76
2020-01-12,26.57
2020-01-19,27.4
2020-01-26,27.12
2020-02-02,14.99
2020-02-09,20.48
2020-02-16,21.98
2020-02-23,19.78
2020-03-01,9.68
2020-03-08,16.07
2020-03-15,2.58
2020-03-22,-11.39
2020-03-29,-4.36
2020-04-05,-11.41
2020-04-12,-5.72
2020-04-19,-2.01
2020-04-26,-2.02
2020-05-03,-0.66
2020-05-10,1.67
2020-05-17,6.71
2020-05-24,11.96
2020-05-31,19.09
2020-06-07,24.44
2020-06-14,19.02
2020-06-21,19.36
2020-06-28,17.47
2020-07-05,18.74
2020-07-12,19.39
2020-07-19,19.4
2020-07-26,17.21
2020-08-02,23.33
2020-08-09,40.45
2020-08-16,33.87
2020-08-23,28.32
2020-08-30,34.23
2020-09-06,28.1
2020-09-13,30.11
2020-09-20,32.33
2020-09-27,25.67
2020-10-04,29.58
2020-10-11,30.63
2020-10-18,25.06
2020-10-25,26.96
2020-11-01,21.12
2020-11-08,27.23
2020-11-15,31.12
2020-11-22,34.95
2020-11-29,39.53
2020-12-06,50.89
2020-12-13,48.25
2020-12-20,42.47
2020-12-27,47.87
2021-01-03,54.5
2021-01-10,76.59
2021-01-17,64.44
2021-01-24,67.67
2021-01-31,61.3
2021-02-07,65.04
2021-02-14,63.59
2021-02-21,59.96
2021-02-28,63.87
2021-03-07,62.18
2021-03-14,88.29
2021-03-21,138.02
2021-03-28,98.19
2021-04-04,111.23
2021-04-11,95.6
2021-04-18,100.23
2021-04-25,92.92
2021-05-02,86.08
2021-05-09,86.73
2021-05-16,76.59
2021-05-23,71.5
2021-05-30,68.45
2021-06-06,61.18
2021-06-13,56.58
2021-06-20,63.5
2021-06-27,69.69
2021-07-04,68.03
