Date,CM
2015-07-19,7.53
2015-07-26,6.87
2015-08-02,-0.41
2015-08-09,-3.49
2015-08-16,-2.99
2015-08-23,-3.86
2015-08-30,-8.39
2015-09-06,-12.61
2015-09-13,-7.03
2015-09-20,-10.17
2015-09-27,-9.63
2015-10-04,-7.53
2015-10-11,-5.63
2015-10-18,-1.72
2015-10-25,-1.2
2015-11-01,-0.76
2015-11-08,-0.52
2015-11-15,-3.11
2015-11-22,-3.07
2015-11-29,-1.4
2015-12-06,-3.61
2015-12-13,0.59
2015-12-20,-1.75
2015-12-27,-4.01
2016-01-03,-2.86
2016-01-10,-4.78
2016-01-17,-6.35
2016-01-24,-7.33
2016-01-31,-8.07
2016-02-07,-8.23
2016-02-14,-9.54
2016-02-21,-7.25
2016-02-28,-5.09
2016-03-06,-5.47
2016-03-13,1.87
2016-03-20,-1.12
2016-03-27,-2.89
2016-04-03,-0.37
2016-04-10,0.81
2016-04-17,1.35
2016-04-24,-1.01
2016-05-01,-4.96
2016-05-08,-0.82
2016-05-15,2.88
2016-05-22,3
2016-05-29,6.33
2016-06-05,8.69
2016-06-12,8.84
2016-06-19,3.96
2016-06-26,3.43
2016-07-03,6.82
2016-07-10,7.8
2016-07-17,6.29
2016-07-24,4.53
2016-07-31,5.83
2016-08-07,7.61
2016-08-14,12.19
2016-08-21,11.88
2016-08-28,17.87
2016-09-04,17.61
2016-09-11,17.36
2016-09-18,14.99
2016-09-25,18.48
2016-10-02,18.6
2016-10-09,15.84
2016-10-16,14.63
2016-10-23,14.56
2016-10-30,15.8
2016-11-06,13.11
2016-11-13,10.05
2016-11-20,11
2016-11-27,9.74
2016-12-04,6.12
2016-12-11,11.45
2016-12-18,10.59
2016-12-25,7.59
2017-01-01,10.97
2017-01-08,14.8
2017-01-15,15.76
2017-01-22,19.39
2017-01-29,15.25
2017-02-05,20.03
2017-02-12,19.54
2017-02-19,19.7
2017-02-26,21.71
2017-03-05,18.57
2017-03-12,19.97
2017-03-19,21.7
2017-03-26,27.51
2017-04-02,23.28
2017-04-09,24.33
2017-04-16,22.11
2017-04-23,26.06
2017-04-30,26.17
2017-05-07,24.15
2017-05-14,22.28
2017-05-21,26.54
2017-05-28,28.49
2017-06-04,31.64
2017-06-11,33.4
2017-06-18,36.32
2017-06-25,33.8
2017-07-02,31.91
2017-07-09,28.38
2017-07-16,25.71
2017-07-23,29.97
2017-07-30,24.83
2017-08-06,26.32
2017-08-13,19.63
2017-08-20,17.46
2017-08-27,19.25
2017-09-03,16.69
2017-09-10,15.08
2017-09-17,19.49
2017-09-24,16.37
2017-10-01,13.98
2017-10-08,13.98
2017-10-15,20.3
2017-10-22,20.47
2017-10-29,20.13
2017-11-05,23.47
2017-11-12,22.46
2017-11-19,28.63
2017-11-26,28.86
2017-12-03,31.01
2017-12-10,31.23
2017-12-17,30.63
2017-12-24,27.75
2017-12-31,30.9
2018-01-07,26.53
2018-01-14,22.72
2018-01-21,23.5
2018-01-28,26.37
2018-02-04,22.85
2018-02-11,5.86
2018-02-18,8.52
2018-02-25,7.38
2018-03-04,6.37
2018-03-11,5.54
2018-03-18,2.98
2018-03-25,-2.77
2018-04-01,0.3
2018-04-08,-2.6
2018-04-15,-5.22
2018-04-22,-8.38
2018-04-29,-5.81
2018-05-06,-8.07
2018-05-13,-7.99
2018-05-20,-9.19
2018-05-27,-10
2018-06-03,-12.21
2018-06-10,-11.34
2018-06-17,-11.7
2018-06-24,-8.74
2018-07-01,-9.07
2018-07-08,-9.1
2018-07-15,-3.92
2018-07-22,-8.71
2018-07-29,-8.97
2018-08-05,-8.73
2018-08-12,-6.71
2018-08-19,-5.51
2018-08-26,-4.84
2018-09-02,-3.99
2018-09-09,-6.55
2018-09-16,-3.36
2018-09-23,-3.95
2018-09-30,-2.2
2018-10-07,-5.36
2018-10-14,-8.51
2018-10-21,-10.24
2018-10-28,-15.29
2018-11-04,-15.47
2018-11-11,-13.02
2018-11-18,-11.54
2018-11-25,-10.83
2018-12-02,-4.03
2018-12-09,-11.19
2018-12-16,-13.15
2018-12-23,-10.02
2018-12-30,-12.52
2019-01-06,-9.65
2019-01-13,-9.99
2019-01-20,-9.65
2019-01-27,-10.32
2019-02-03,-12.76
2019-02-10,-3.12
2019-02-17,-2.51
2019-02-24,-3.87
2019-03-03,-0.33
2019-03-10,-2.13
2019-03-17,-3.4
2019-03-24,-3.52
2019-03-31,-0.64
2019-04-07,-1.65
2019-04-14,1.75
2019-04-21,5.67
2019-04-28,6
2019-05-05,6.93
2019-05-12,10.01
2019-05-19,6.5
2019-05-26,3.01
2019-06-02,3.99
2019-06-09,2.33
2019-06-16,1.84
2019-06-23,3.95
2019-06-30,1.74
2019-07-07,0.98
2019-07-14,-3.35
2019-07-21,1.38
2019-07-28,0.04
2019-08-04,1.83
2019-08-11,0.36
2019-08-18,-1.76
2019-08-25,1.24
2019-09-01,1.9
2019-09-08,4.4
2019-09-15,4.04
2019-09-22,1.47
2019-09-29,0.76
2019-10-06,-1.15
2019-10-13,4
2019-10-20,3.89
2019-10-27,6.53
2019-11-03,13.91
2019-11-10,12.14
2019-11-17,12.09
2019-11-24,8.05
2019-12-01,1.42
2019-12-08,6.51
2019-12-15,6.68
2019-12-22,11.05
2019-12-29,11.17
2020-01-05,11.42
2020-01-12,12.15
2020-01-19,15.16
2020-01-26,14.35
2020-02-02,13.48
2020-02-09,18.16
2020-02-16,18.01
2020-02-23,19.1
2020-03-01,10.36
2020-03-08,15.13
2020-03-15,7.9
2020-03-22,-2.95
2020-03-29,1.45
2020-04-05,5.58
2020-04-12,6.39
2020-04-19,8.35
2020-04-26,13.23
2020-05-03,14.96
2020-05-10,16.6
2020-05-17,21.94
2020-05-24,32.46
2020-05-31,36.34
2020-06-07,35.87
2020-06-14,35.59
2020-06-21,36.6
2020-06-28,40.72
2020-07-05,50.93
2020-07-12,63.82
2020-07-19,54.52
2020-07-26,49.85
2020-08-02,56.15
2020-08-09,64.64
2020-08-16,65.44
2020-08-23,60.29
2020-08-30,69.05
2020-09-06,67.23
2020-09-13,61.67
2020-09-20,59.76
2020-09-27,52.34
2020-10-04,56.79
2020-10-11,58.03
2020-10-18,53.56
2020-10-25,50.15
2020-11-01,45.28
2020-11-08,50.75
2020-11-15,48.05
2020-11-22,44.41
2020-11-29,47.53
2020-12-06,53.55
2020-12-13,51.03
2020-12-20,46.76
2020-12-27,48.05
2021-01-03,48.76
2021-01-10,59.96
2021-01-17,48.64
2021-01-24,57.76
2021-01-31,57.82
2021-02-07,65.48
2021-02-14,66.79
2021-02-21,64.54
2021-02-28,62.01
2021-03-07,59.21
2021-03-14,77.61
2021-03-21,113.23
2021-03-28,97.04
2021-04-04,84.3
2021-04-11,89.47
2021-04-18,95.08
2021-04-25,78.98
2021-05-02,70.98
2021-05-09,66.68
2021-05-16,56.26
2021-05-23,57.33
2021-05-30,54.93
2021-06-06,55.94
2021-06-13,60.64
2021-06-20,68.26
2021-06-27,61.91
2021-07-04,54.4
