Date,CS
2018-01-21,11.85
2018-01-28,12.23
2018-02-04,11.69
2018-02-11,4.39
2018-02-18,1.21
2018-02-25,3.04
2018-03-04,0.06
2018-03-11,2.82
2018-03-18,2.37
2018-03-25,-3.05
2018-04-01,0.78
2018-04-08,2.58
2018-04-15,2.9
2018-04-22,-0.29
2018-04-29,0.98
2018-05-06,1.84
2018-05-13,-2.41
2018-05-20,-2.52
2018-05-27,-5.45
2018-06-03,-6.71
2018-06-10,-3.65
2018-06-17,-2.05
2018-06-24,-1.12
2018-07-01,-0.7
2018-07-08,-3.01
2018-07-15,-0.83
2018-07-22,-6.46
2018-07-29,-8.82
2018-08-05,-5.99
2018-08-12,-5.79
2018-08-19,-6.73
2018-08-26,-5.64
2018-09-02,-4.74
2018-09-09,-2.54
2018-09-16,2.57
2018-09-23,1.34
2018-09-30,4.74
2018-10-07,-0.96
2018-10-14,-6.49
2018-10-21,-9.12
2018-10-28,-13
2018-11-04,-13.49
2018-11-11,-16
2018-11-18,-13.77
2018-11-25,-13.93
2018-12-02,-11.66
2018-12-09,-12.33
2018-12-16,-10.82
2018-12-23,-9.31
2018-12-30,-10.05
2019-01-06,-8.45
2019-01-13,-10.54
2019-01-20,-10.91
2019-01-27,-10
2019-02-03,-9.45
2019-02-10,-5.19
2019-02-17,-1.56
2019-02-24,0.29
2019-03-03,1.22
2019-03-10,2.64
2019-03-17,2.39
2019-03-24,1.34
2019-03-31,-0.59
2019-04-07,-4.1
2019-04-14,-1.08
2019-04-21,-1.3
2019-04-28,-2.88
2019-05-05,-6.51
2019-05-12,-9.17
2019-05-19,-11.17
2019-05-26,-13.27
2019-06-02,-11.62
2019-06-09,-14.84
2019-06-16,-15.32
2019-06-23,-13.31
2019-06-30,-14.61
2019-07-07,-10.41
2019-07-14,-13.17
2019-07-21,-10.07
2019-07-28,-12.83
2019-08-04,-15.86
2019-08-11,-18.59
2019-08-18,-17.88
2019-08-25,-17.73
2019-09-01,-15.99
2019-09-08,-14.02
2019-09-15,-12.51
2019-09-22,-12.38
2019-09-29,-13.42
2019-10-06,-12.52
2019-10-13,-6.57
2019-10-20,-6.51
2019-10-27,-7.78
2019-11-03,-0.73
2019-11-10,-0.88
2019-11-17,-1.06
2019-11-24,-4.72
2019-12-01,-6.6
2019-12-08,-7.21
2019-12-15,-8.76
2019-12-22,-8.83
2019-12-29,-7
2020-01-05,-6.88
2020-01-12,-6.29
2020-01-19,-3.13
2020-01-26,-5.96
2020-02-02,-13.08
2020-02-09,-10.55
2020-02-16,-9.69
2020-02-23,-14.5
2020-03-01,-22.56
2020-03-08,-20.74
2020-03-15,-29.03
2020-03-22,-34.27
2020-03-29,-29.32
2020-04-05,-26.7
2020-04-12,-23.18
2020-04-19,-22.46
2020-04-26,-18.45
2020-05-03,-15.21
2020-05-10,-12.91
2020-05-17,-8.09
2020-05-24,-6.7
2020-05-31,-4.98
2020-06-07,-2.55
2020-06-14,-7.67
2020-06-21,-9.77
2020-06-28,-8.95
2020-07-05,-5.79
2020-07-12,-6.41
2020-07-19,-4.18
2020-07-26,-6.59
2020-08-02,-2.77
2020-08-09,7.16
2020-08-16,15.07
2020-08-23,8.05
2020-08-30,8.79
2020-09-06,2.33
2020-09-13,3.1
2020-09-20,2.83
2020-09-27,-3.3
2020-10-04,-0.68
2020-10-11,2.42
2020-10-18,1.74
2020-10-25,1.78
2020-11-01,-4.48
2020-11-08,-4.41
2020-11-15,0.5
2020-11-22,2.31
2020-11-29,0.55
2020-12-06,0.56
2020-12-13,5.77
2020-12-20,7.49
2020-12-27,6.62
2021-01-03,6.7
2021-01-10,10.13
2021-01-17,4.55
2021-01-24,6.88
2021-01-31,7.47
2021-02-07,13.84
2021-02-14,14.12
2021-02-21,12.72
2021-02-28,16.85
2021-03-07,19.12
2021-03-14,30.97
2021-03-21,50.16
2021-03-28,40.79
2021-04-04,38.09
2021-04-11,29.04
2021-04-18,30.18
2021-04-25,21.15
2021-05-02,17.86
2021-05-09,20.82
2021-05-16,20.02
2021-05-23,18.75
2021-05-30,23.48
2021-06-06,20.75
2021-06-13,22.51
2021-06-20,30.47
2021-06-27,31.55
2021-07-04,24.79
