Date,EN
2015-09-13,7.76
2015-09-20,12.8
2015-09-27,13.01
2015-10-04,26.72
2015-10-11,33.08
2015-10-18,39.19
2015-10-25,48.67
2015-11-01,39.51
2015-11-08,45.52
2015-11-15,32.52
2015-11-22,40.65
2015-11-29,39.63
2015-12-06,41.31
2015-12-13,47.85
2015-12-20,46.74
2015-12-27,47.51
2016-01-03,48.39
2016-01-10,55.65
2016-01-17,45.79
2016-01-24,37.1
2016-01-31,34.13
2016-02-07,36.58
2016-02-14,24.4
2016-02-21,32.54
2016-02-28,26.82
2016-03-06,32.07
2016-03-13,34.25
2016-03-20,41.84
2016-03-27,43.5
2016-04-03,41.17
2016-04-10,32.42
2016-04-17,25.62
2016-04-24,17.89
2016-05-01,13.4
2016-05-08,10.45
2016-05-15,10.1
2016-05-22,13.24
2016-05-29,15.8
2016-06-05,9.15
2016-06-12,9.22
2016-06-19,2.14
2016-06-26,-2.6
2016-07-03,-1.11
2016-07-10,7.81
2016-07-17,5.12
2016-07-24,3.24
2016-07-31,12.95
2016-08-07,15.11
2016-08-14,26.54
2016-08-21,23.58
2016-08-28,21.91
2016-09-04,19.34
2016-09-11,18.23
2016-09-18,14.57
2016-09-25,13.38
2016-10-02,12.44
2016-10-09,5.69
2016-10-16,10.27
2016-10-23,10.32
2016-10-30,4.22
2016-11-06,4.04
2016-11-13,11.82
2016-11-20,8.19
2016-11-27,2.48
2016-12-04,2.81
2016-12-11,8.37
2016-12-18,6.27
2016-12-25,3.03
2017-01-01,4.98
2017-01-08,7.94
2017-01-15,10.04
2017-01-22,15.72
2017-01-29,14.76
2017-02-05,11.42
2017-02-12,8.85
2017-02-19,12.14
2017-02-26,4.94
2017-03-05,1.85
2017-03-12,0.25
2017-03-19,1.41
2017-03-26,0.51
2017-04-02,-0.35
2017-04-09,-0.27
2017-04-16,-6.92
2017-04-23,-0.84
2017-04-30,4.39
2017-05-07,9.33
2017-05-14,10.92
2017-05-21,16.22
2017-05-28,20.49
2017-06-04,19.97
2017-06-11,16.85
2017-06-18,19.26
2017-06-25,20.53
2017-07-02,23.19
2017-07-09,23.51
2017-07-16,23.63
2017-07-23,28
2017-07-30,28.54
2017-08-06,31.56
2017-08-13,25.79
2017-08-20,27.16
2017-08-27,32.6
2017-09-03,35.38
2017-09-10,36
2017-09-17,41.56
2017-09-24,35.25
2017-10-01,34.43
2017-10-08,34.43
2017-10-15,39.25
2017-10-22,32.13
2017-10-29,36.37
2017-11-05,39.06
2017-11-12,35.91
2017-11-19,33.67
2017-11-26,37.86
2017-12-03,35.8
2017-12-10,29.29
2017-12-17,31.04
2017-12-24,31.06
2017-12-31,33.69
2018-01-07,31.82
2018-01-14,30.51
2018-01-21,32.29
2018-01-28,38.19
2018-02-04,35.57
2018-02-11,28.45
2018-02-18,27.27
2018-02-25,32.97
2018-03-04,32.66
2018-03-11,36.89
2018-03-18,33.06
2018-03-25,28.85
2018-04-01,26.11
2018-04-08,26.65
2018-04-15,26.94
2018-04-22,26.26
2018-04-29,18.89
2018-05-06,19.63
2018-05-13,18.97
2018-05-20,18.58
2018-05-27,10.12
2018-06-03,7.66
2018-06-10,15.13
2018-06-17,17.02
2018-06-24,9.18
2018-07-01,9.82
2018-07-08,4.94
2018-07-15,5.28
2018-07-22,0.74
2018-07-29,3.13
2018-08-05,3.32
2018-08-12,1.31
2018-08-19,1.85
2018-08-26,-2.13
2018-09-02,-4.18
2018-09-09,-4.3
2018-09-16,-5.43
2018-09-23,-3.68
2018-09-30,-1.03
2018-10-07,-4.79
2018-10-14,-10.55
2018-10-21,-10.64
2018-10-28,-13.14
2018-11-04,-11.33
2018-11-11,-14.12
2018-11-18,-10.6
2018-11-25,-13.4
2018-12-02,-11.37
2018-12-09,-11.3
2018-12-16,-10.99
2018-12-23,-11.04
2018-12-30,-14.55
2019-01-06,-18.47
2019-01-13,-16.61
2019-01-20,-12.81
2019-01-27,-15.81
2019-02-03,-15.86
2019-02-10,-9.1
2019-02-17,-7.56
2019-02-24,-6.95
2019-03-03,-9.06
2019-03-10,-11.28
2019-03-17,-12.02
2019-03-24,-12.66
2019-03-31,-13.46
2019-04-07,-10.85
2019-04-14,-9.91
2019-04-21,-9.96
2019-04-28,-11.35
2019-05-05,-12.3
2019-05-12,-14.46
2019-05-19,-15.73
2019-05-26,-16.87
2019-06-02,-15.18
2019-06-09,-17.51
2019-06-16,-16.18
2019-06-23,-11.43
2019-06-30,-10.46
2019-07-07,-3.38
2019-07-14,-7.96
2019-07-21,-8.02
2019-07-28,-14.05
2019-08-04,-15.16
2019-08-11,-19.76
2019-08-18,-20.63
2019-08-25,-16.56
2019-09-01,-16.48
2019-09-08,-14.74
2019-09-15,-13.88
2019-09-22,-12.69
2019-09-29,-19.02
2019-10-06,-16.4
2019-10-13,-9.18
2019-10-20,-11.35
2019-10-27,-10.07
2019-11-03,-6.42
2019-11-10,-6.5
2019-11-17,-6.83
2019-11-24,-11.45
2019-12-01,-11.84
2019-12-08,-13.54
2019-12-15,-9.8
2019-12-22,-6.08
2019-12-29,-5.55
2020-01-05,-1.4
2020-01-12,-8.85
2020-01-19,-10.77
2020-01-26,-12.04
2020-02-02,-18.4
2020-02-09,-13.46
2020-02-16,-12.87
2020-02-23,-17.75
2020-03-01,-25.58
2020-03-08,-23.65
2020-03-15,-33.47
2020-03-22,-45.94
2020-03-29,-35.51
2020-04-05,-36.4
2020-04-12,-30.74
2020-04-19,-27.01
2020-04-26,-26.09
2020-05-03,-22.52
2020-05-10,-22.69
2020-05-17,-21.86
2020-05-24,-13.41
2020-05-31,-6.72
2020-06-07,-1.82
2020-06-14,-2.1
2020-06-21,2.27
2020-06-28,2.75
2020-07-05,-0.04
2020-07-12,2.63
2020-07-19,-0.2
2020-07-26,2.15
2020-08-02,8.25
2020-08-09,38.89
2020-08-16,36.76
2020-08-23,27.7
2020-08-30,38.11
2020-09-06,37.1
2020-09-13,30.4
2020-09-20,25.33
2020-09-27,18.06
2020-10-04,24.22
2020-10-11,32.25
2020-10-18,24.13
2020-10-25,27.03
2020-11-01,19.46
2020-11-08,30.39
2020-11-15,35.23
2020-11-22,39.4
2020-11-29,48.8
2020-12-06,54.95
2020-12-13,54.46
2020-12-20,50.09
2020-12-27,46.5
2021-01-03,49.4
2021-01-10,90.85
2021-01-17,80.47
2021-01-24,86.98
2021-01-31,91.28
2021-02-07,99.79
2021-02-14,94
2021-02-21,90.37
2021-02-28,88.5
2021-03-07,92.36
2021-03-14,123.6
2021-03-21,202.26
2021-03-28,138.07
2021-04-04,138.82
2021-04-11,123.7
2021-04-18,129.51
2021-04-25,122.3
2021-05-02,115.53
2021-05-09,127.93
2021-05-16,120.55
2021-05-23,101.13
2021-05-30,91.17
2021-06-06,84.61
2021-06-13,81.23
2021-06-20,73.08
2021-06-27,76.9
2021-07-04,75.62
