Date,FN
2016-12-18,12.88
2016-12-25,9.86
2017-01-01,9.18
2017-01-08,13.52
2017-01-15,14.88
2017-01-22,28.34
2017-01-29,27.3
2017-02-05,23.85
2017-02-12,21.47
2017-02-19,19.29
2017-02-26,20.77
2017-03-05,19.32
2017-03-12,18.18
2017-03-19,20.98
2017-03-26,20.61
2017-04-02,16.14
2017-04-09,18.09
2017-04-16,12.94
2017-04-23,14.35
2017-04-30,17.06
2017-05-07,24.76
2017-05-14,29.65
2017-05-21,28.11
2017-05-28,33.92
2017-06-04,33.47
2017-06-11,32.39
2017-06-18,40.71
2017-06-25,34.18
2017-07-02,44.26
2017-07-09,47.04
2017-07-16,45.89
2017-07-23,48.92
2017-07-30,43.46
2017-08-06,45.5
2017-08-13,36.08
2017-08-20,36.22
2017-08-27,39.81
2017-09-03,29.62
2017-09-10,23.78
2017-09-17,30.49
2017-09-24,33.86
2017-10-01,29.76
2017-10-08,29.76
2017-10-15,32.87
2017-10-22,25.61
2017-10-29,25.95
2017-11-05,28.58
2017-11-12,21.33
2017-11-19,23
2017-11-26,21.67
2017-12-03,20.94
2017-12-10,18.04
2017-12-17,23.87
2017-12-24,24.04
2017-12-31,26.12
2018-01-07,27.78
2018-01-14,33.76
2018-01-21,31.54
2018-01-28,30.59
2018-02-04,30.77
2018-02-11,18.11
2018-02-18,19.61
2018-02-25,25.22
2018-03-04,20.17
2018-03-11,18.41
2018-03-18,12.94
2018-03-25,12.3
2018-04-01,14.77
2018-04-08,10.35
2018-04-15,13.22
2018-04-22,12.4
2018-04-29,12.51
2018-05-06,9.48
2018-05-13,6.2
2018-05-20,6.49
2018-05-27,1.67
2018-06-03,-1.03
2018-06-10,1.94
2018-06-17,-1.55
2018-06-24,-2.5
2018-07-01,-7.58
2018-07-08,-6.21
2018-07-15,-6.8
2018-07-22,-10.48
2018-07-29,-12.57
2018-08-05,-12.44
2018-08-12,-11.98
2018-08-19,-12.26
2018-08-26,-11.33
2018-09-02,-9.34
2018-09-09,-6.22
2018-09-16,-6.23
2018-09-23,-6.41
2018-09-30,-2.61
2018-10-07,-2.04
2018-10-14,-11.7
2018-10-21,-10.26
2018-10-28,-12.43
2018-11-04,-12.24
2018-11-11,-10.24
2018-11-18,-11.75
2018-11-25,-11.79
2018-12-02,-13.23
2018-12-09,-13.06
2018-12-16,-14.43
2018-12-23,-13.62
2018-12-30,-15.92
2019-01-06,-17.01
2019-01-13,-21.86
2019-01-20,-18.79
2019-01-27,-18.5
2019-02-03,-16.95
2019-02-10,-11.9
2019-02-17,-12.35
2019-02-24,-13.2
2019-03-03,-13.47
2019-03-10,-13.76
2019-03-17,-9.72
2019-03-24,-14.01
2019-03-31,-12.5
2019-04-07,-3.83
2019-04-14,-4.54
2019-04-21,-7.92
2019-04-28,-11.41
2019-05-05,-9.93
2019-05-12,-10.67
2019-05-19,-12.2
2019-05-26,-8.52
2019-06-02,-6.34
2019-06-09,-11.07
2019-06-16,-9.03
2019-06-23,-4.26
2019-06-30,-2.65
2019-07-07,-4.16
2019-07-14,-5.49
2019-07-21,-3.52
2019-07-28,-7.21
2019-08-04,-10.42
2019-08-11,-13.98
2019-08-18,-15.56
2019-08-25,-14.28
2019-09-01,-13.82
2019-09-08,-11.25
2019-09-15,-8.17
2019-09-22,-8.17
2019-09-29,-14.03
2019-10-06,-18.05
2019-10-13,-12.64
2019-10-20,-10.56
2019-10-27,-9.5
2019-11-03,-7.79
2019-11-10,-6.13
2019-11-17,-5.54
2019-11-24,-4.93
2019-12-01,-5.8
2019-12-08,-3.73
2019-12-15,2.81
2019-12-22,0.11
2019-12-29,2.51
2020-01-05,0.49
2020-01-12,-1.66
2020-01-19,-4.9
2020-01-26,-4.59
2020-02-02,-13.19
2020-02-09,-12.81
2020-02-16,-15.6
2020-02-23,-17.75
2020-03-01,-21.61
2020-03-08,-22.52
2020-03-15,-33.31
2020-03-22,-44.53
2020-03-29,-32.38
2020-04-05,-38.49
2020-04-12,-32.91
2020-04-19,-33.46
2020-04-26,-34.72
2020-05-03,-29.01
2020-05-10,-30.54
2020-05-17,-30.3
2020-05-24,-31.18
2020-05-31,-26.12
2020-06-07,-17.94
2020-06-14,-26.23
2020-06-21,-26.77
2020-06-28,-29.01
2020-07-05,-26.95
2020-07-12,-27.94
2020-07-19,-25.1
2020-07-26,-25.83
2020-08-02,-22.87
2020-08-09,-15.55
2020-08-16,-4.73
2020-08-23,-11.79
2020-08-30,-9.04
2020-09-06,-12.63
2020-09-13,-16.31
2020-09-20,-17.11
2020-09-27,-19.55
2020-10-04,-16.64
2020-10-11,-11.99
2020-10-18,-15.8
2020-10-25,-9.11
2020-11-01,-11.43
2020-11-08,-9.2
2020-11-15,-5.53
2020-11-22,-4.71
2020-11-29,-3.33
2020-12-06,-0.95
2020-12-13,-2.47
2020-12-20,-8.24
2020-12-27,-7.13
2021-01-03,-6.4
2021-01-10,3.89
2021-01-17,1.2
2021-01-24,-1.46
2021-01-31,-3.73
2021-02-07,2.69
2021-02-14,5.54
2021-02-21,8.62
2021-02-28,14.01
2021-03-07,21.48
2021-03-14,46.15
2021-03-21,96.38
2021-03-28,61.37
2021-04-04,59.14
2021-04-11,55.7
2021-04-18,53.4
2021-04-25,58.3
2021-05-02,50.08
2021-05-09,61.35
2021-05-16,65.27
2021-05-23,56.74
2021-05-30,53.7
2021-06-06,42.22
2021-06-13,45.45
2021-06-20,50.01
2021-06-27,61.46
2021-07-04,54.32
