Ticker Symbol,Proper Name,ETF Issuer,Asset Class,ETF Launch,ETF Last Expense Ratio,ETF AUM,ETF Focus,ETF Niche,ETF Segment Name,ETF Strategy ,ETF Strategy Cluster,ETF Strategy Group,ETF Selection Criteria,ETF Weighting Scheme
ACWI,iShares MSCI ACWI,Blackrock,Equity,03/26/2008,32.0,"17,906,094,080.0",Total Market,Broad-based,Equity: Global  -  Total Market,Vanilla,Vanilla,Vanilla,Market Cap,Market Cap
ACWV,iShares MSCI Global Min Vol Factor,Blackrock,Equity,10/18/2011,20.0,"4,718,311,080.0",Total Market,Broad-based,Equity: Global  -  Total Market,Low Volatility,Technical,Strategic,Multi-Factor,Multi-Factor
ACWX,iShares MSCI ACWI ex U.S.,Blackrock,Equity,03/26/2008,32.0,"4,402,941,040.0",Total Market,Broad-based,Equity: Global Ex-U.S.  -  Total Market,Vanilla,Vanilla,Vanilla,Market Cap,Market Cap
ADFI,Anfield Dynamic Fixed Income,Anfield Group,Fixed Income,08/18/2020,173.0,"22,496,750.0",Broad Credit,Broad Maturities,"Fixed Income: Global - Broad Market, Broad-based",Active,Active,Active,Proprietary,Proprietary
ADIV,SmartETFs Asia Pacific Dividend Builder,Guinness Atkinson Asset Management,Equity,03/31/2006,78.0,"3,168,129.1",Total Market,Broad-based,Equity: Asia-Pacific - Total Market,Active,Active,Active,Proprietary,Proprietary
ADME,Aptus Drawdown Managed Equity,Aptus Capital Advisors,Equity,06/08/2016,79.0,"174,650,691.0",Total Market,Broad-based,Equity: U.S.  -  Total Market,Active,Active,Active,Proprietary,Proprietary
ADPV,Adaptiv Select,Client First Investment Management LLC,Equity,11/03/2022,100.0,"54,647,625.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Active,Active,Active,Proprietary,Proprietary
AEMB,American Century Emerging Markets Bond,American Century Investments,Fixed Income,06/29/2021,39.0,"33,498,450.0",Broad Credit,Broad Maturities,"Fixed Income: Emerging Markets - Broad Market, Broad-based",Active,Active,Active,Proprietary,Proprietary
AESR,Anfield U.S. Equity Sector Rotation,Anfield Group,Equity,12/17/2019,108.0,"114,430,500.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Active,Active,Active,Proprietary,Proprietary
AFIF,Anfield Universal Fixed Income,Anfield Group,Fixed Income,09/18/2018,100.0,"109,392,500.0",Broad Credit,Broad Maturities,"Fixed Income: Global - Broad Market, Broad-based",Active,Active,Active,Proprietary,Proprietary
AFK,VanEck Africa Index,VanEck,Equity,07/10/2008,98.0,"45,960,600.0",Total Market,Broad-based,Equity: Africa  -  Total Market,Multi-factor,Hybrid,Strategic,Multi-Factor,Tiered
AFLG,First Trust Active Factor Large Cap,First Trust,Equity,12/03/2019,55.0,"5,144,251.4",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Active,Active,Active,Proprietary,Proprietary
AFMC,First Trust Active Factor Mid Cap,First Trust,Equity,12/03/2019,65.0,"6,287,050.3",Mid Cap,Broad-based,Equity: U.S.  -  Mid Cap,Active,Active,Active,Proprietary,Proprietary
AFSM,First Trust Active Factor Small Cap,First Trust,Equity,12/03/2019,77.0,"3,767,900.2",Small Cap,Broad-based,Equity: U.S.  -  Small Cap,Active,Active,Active,Proprietary,Proprietary
AFTY,Pacer CSOP FTSE China A50,Pacer Advisors,Equity,03/12/2015,70.0,"4,557,488.9",Large Cap,Broad-based,Equity: China  -  Large Cap,Vanilla,Vanilla,Vanilla,Market Cap,Market Cap
AGG,iShares Core U.S. Aggregate Bond,Blackrock,Fixed Income,09/22/2003,3.0,"93,439,797,880.0",Investment Grade,Broad Maturities,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade",Vanilla,Vanilla,Vanilla,Market Value,Market Value
AGGH,Simplify Aggregate Bond PLUS Credit Hedge,Simplify,Fixed Income,02/14/2022,30.0,"66,870,672.1",Investment Grade,Broad Maturities,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade",Active,Active,Active,Proprietary,Proprietary
AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,WisdomTree,Fixed Income,07/09/2015,12.0,"899,638,590.0",Investment Grade,Broad Maturities,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade",Multi-factor,Hybrid,Strategic,Multi-Factor,Multi-Factor
AGIH,iShares Inflation Hedged U.S. Aggregate Bond,Blackrock,Fixed Income,06/22/2022,13.0,"2,417,880.0",Investment Grade,Broad Maturities,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade",Inflation Hedged,Bottom-up,Strategic,Fixed,Fixed
AGNG,Global X Aging Population,"Mirae Asset Global Investments Co., Ltd.",Equity,05/09/2016,50.0,"54,112,792.2",Theme,Consumer,Equity: Developed Markets Consumer,Fundamental,Bottom-up,Strategic,Proprietary,Market Cap
AGOV,ETC Gavekal Asia Pacific Government Bond,Exchange Traded Concepts,Fixed Income,07/22/2021,50.0,"36,689,730.0",Broad Credit,Broad Maturities,"Fixed Income: Asia-Pacific Government, Treasury",Active,Active,Active,Proprietary,Proprietary
AGOX,Adaptive Alpha Opportunities,Adaptive Investments,Equity,05/10/2021,163.0,"217,800,795.7",Total Market,Broad-based,Equity: Global  -  Total Market,Active,Active,Active,Proprietary,Proprietary
AGQ,ProShares Ultra Silver,ProShares,Commodities,12/01/2008,150.0,"402,679,117.7",Silver,Front Month,Leveraged Commodities: Precious Metals Silver,Vanilla,Vanilla,Vanilla,Single Asset,Single Asset
AGRH,iShares Interest Rate Hedged U.S. Aggregate Bond,Blackrock,Fixed Income,06/22/2022,13.0,"5,141,940.0",Investment Grade,Broad Maturities,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade",Duration Hedged,Bottom-up,Strategic,Fixed,Fixed
AGZ,iShares Agency Bond,Blackrock,Fixed Income,11/05/2008,20.0,"656,121,975.0",Investment Grade,Broad Maturities,"Fixed Income: U.S. - Government, Agency Investment Grade",Vanilla,Vanilla,Vanilla,Market Value,Market Value
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,WisdomTree,Fixed Income,12/18/2013,23.0,"200,833,980.0",Investment Grade,Broad Maturities,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade",Duration Hedged,Bottom-up,Strategic,Market Value,Market Value
AHLT,American Beacon AHL Trend,"Resolute Investment Managers, Inc.",Asset Allocation,08/31/2023,95.0,#N/A,Target Outcome,Income & Capital Appreciation,Asset Allocation: Global - Target Outcome ,Active,Active,Active,Proprietary,Proprietary
AHOY,Newday Ocean Health,Tidal,Equity,06/06/2022,75.0,"2,061,000.0",Theme,Environment,Equity: Global Environment,Active,Active,Active,Proprietary,Proprietary
AHYB,American Century  Select High Yield,American Century Investments,Fixed Income,11/16/2021,45.0,"30,977,450.0",High Yield,Broad Maturities,"Fixed Income: Global - Corporate, Broad-based High Yield",Active,Active,Active,Proprietary,Proprietary
AIA,iShares Asia 50,Blackrock,Equity,11/13/2007,50.0,"1,579,524,555.0",Large Cap,Broad-based,Equity: Asia-Pacific Ex-Japan  -  Large Cap,Vanilla,Vanilla,Vanilla,Committee,Market Cap
AIDB,QRAFT AI-Pilot U.S. Large Cap Dynamic Beta and Income,Exchange Traded Concepts,Equity,05/23/2023,79.0,"3,229,706.9",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Active,Active,Active,Proprietary,Proprietary
AIEQ,AI Powered Equity,ETFMG,Equity,10/17/2017,75.0,"110,180,000.0",Total Market,Broad-based,Equity: U.S.  -  Total Market,Active,Active,Active,Proprietary,Proprietary
AIQ,Global X Artificial Intelligence & Technology,"Mirae Asset Global Investments Co., Ltd.",Equity,05/11/2018,68.0,"547,905,584.3",Theme,Robotics & AI,Equity: Developed Markets Robotics & AI,Vanilla,Vanilla,Vanilla,Market Cap,Market Cap
AIRR,First Trust RBA American Industrial Renaissance,First Trust,Equity,03/10/2014,70.0,#N/A,Industrials,Broad-based,Equity: U.S. Industrials,Multi-factor,Hybrid,Strategic,Multi-Factor,Proprietary
AIVI,WisdomTree International AI Enhanced Value Fund,WisdomTree,Equity,06/16/2006,58.0,"73,890,240.0",Total Market,Value,Equity: Developed Markets Ex-North America  -  Total Market Value,Active,Active,Active,Proprietary,Proprietary
AIVL,WisdomTree U.S. AI Enhanced Value Fund,WisdomTree,Equity,06/16/2006,38.0,"388,812,187.5",Total Market,Value,Equity: U.S.  -  Total Market Value,Active,Active,Active,Proprietary,Proprietary
ALTL,Pacer Lunt Large Cap Alternator,Pacer Advisors,Equity,06/24/2020,60.0,"640,850,910.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Momentum,Technical,Strategic,Fixed,Momentum
ALTY,Global X Alternative Income,"Mirae Asset Global Investments Co., Ltd.",Asset Allocation,07/14/2015,50.0,"36,905,803.9",Target Outcome,Income,Asset Allocation: Global - Target Outcome ,Multi-factor,Hybrid,Strategic,Multi-Factor,Tiered
AMAX,RH Hedged Multi-Asset Income,Adaptive Investments,Asset Allocation,11/15/2021,113.0,"31,577,043.5",Target Outcome,Income & Capital Appreciation,Asset Allocation: Global - Target Outcome ,Active,Active,Active,Proprietary,Proprietary
AMDS,GraniteShares 1x Short AMD Daily,GraniteShares,Equity,08/21/2023,115.0,"762,325.4",Information Technology,Semiconductors,Inverse Equity: U.S. Semiconductors,Vanilla,Vanilla,Vanilla,Single Asset,Single Asset
AMID,Argent Mid Cap Argent Mid Cap,Alpha Architect,Equity,08/17/2022,52.0,"33,385,000.0",Mid Cap,Broad-based,Equity: U.S.  -  Mid Cap,Active,Active,Active,Proprietary,Proprietary
AMJ,J.P. Morgan Alerian MLP Index ETN,JPMorgan Chase,Equity,04/02/2009,85.0,"2,846,372,900.0",Energy,MLPs,Equity: North America MLPs,Dividends,Bottom-up,Strategic,Distributions,Market Cap
AMLP,Alerian MLP,SS&C,Equity,08/23/2010,87.0,"6,838,406,583.0",Energy,MLPs,Equity: U.S. MLPs,Dividends,Bottom-up,Strategic,Distributions,Market Cap
AMNA,ETRACS Alerian Midstream Energy Index ETN,UBS,Equity,06/19/2020,64.0,"75,625,600.0",Energy,MLPs,Equity: U.S. MLPs,Dividends,Bottom-up,Strategic,Distributions,Market Cap
AMND,"ETRACS Alerian Midstream Energy High Dividend Index ETN due July 19, 2050",UBS,Equity,07/15/2020,75.0,"39,064,500.0",Energy,MLPs,Equity: U.S. MLPs,Dividends,Bottom-up,Strategic,Dividends,Dividends
AMOM,Qraft AI-Enhanced U.S. Large Cap Momentum,Exchange Traded Concepts,Equity,05/21/2019,75.0,"13,492,081.7",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Active,Active,Active,Proprietary,Proprietary
AMPD,CNIC ICE U.S. Carbon Neutral Power Futures Index,Tidal,Commodities,05/19/2023,95.0,"5,034,180.0",Broad Market,Laddered,Commodities: Energy Electricity ,Multi-factor,Hybrid,Strategic,Fixed,Multi-Factor
AMTR,ETRACS Alerian Midstream Energy Total Return Index ETN,UBS,Equity,10/20/2020,75.0,"60,392,640.0",Energy,MLPs,Equity: U.S. MLPs,Vanilla,Vanilla,Vanilla,Market Cap,Market Cap
AMUB,ETRACS Alerian MLP Index ETN Class B,UBS,Equity,10/08/2015,80.0,"70,794,220.0",Energy,MLPs,Equity: U.S. MLPs,Dividends,Bottom-up,Strategic,Distributions,Market Cap
AMZA,InfraCap MLP,Virtus Investment Partners,Equity,10/01/2014,164.0,"318,634,113.6",Energy,MLPs,Leveraged Equity: U.S. MLPs,Active,Active,Active,Proprietary,Proprietary
AMZD,Direxion Daily AMZN Bear 1X Shares,Rafferty Asset Management,Equity,09/07/2022,107.0,"3,977,619.9",Consumer Discretionary,Broadline Retail,Inverse Equity: U.S. Broadline Retail,Vanilla,Vanilla,Vanilla,Single Asset,Single Asset
AMZU,Direxion Daily AMZN Bull 1.5X Shares,Rafferty Asset Management,Equity,09/07/2022,106.0,"39,398,650.0",Consumer Discretionary,Broadline Retail,Leveraged Equity: U.S. Broadline Retail,Vanilla,Vanilla,Vanilla,Single Asset,Single Asset
AMZY,YieldMax AMZN Option Income Strategy,Tidal,Equity,07/24/2023,99.0,"18,971,050.0",Consumer Discretionary,Broadline Retail,Equity: U.S. Broadline Retail,Buy-write,Technical,Strategic,Single Asset,Single Asset
ANEW,ProShares MSCI Transformational Changes,ProShares,Equity,10/14/2020,45.0,"8,226,801.6",Theme,Broad Thematic,Equity: Global Broad Thematic,Vanilla,Vanilla,Vanilla,Market Cap,Market Cap
ANGL,VanEck Fallen Angel High Yield Bond,VanEck,Fixed Income,04/10/2012,35.0,"2,856,821,320.0",High Yield,Broad Maturities,"Fixed Income: U.S. - Corporate, Broad-based High Yield",Fundamental,Bottom-up,Strategic,Credit Downgrade,Market Value
AOA,iShares Core Aggressive Allocation,Blackrock,Asset Allocation,11/04/2008,15.0,"1,648,860,196.5",Target Risk,Aggressive,Asset Allocation: Global - Target Risk ,Fixed Asset Allocation,Arbitrary Weighting,Idiosyncratic,Proprietary,Proprietary
AOK,iShares Core Conservative Allocation,Blackrock,Asset Allocation,11/04/2008,15.0,"653,544,490.0",Target Risk,Conservative,Asset Allocation: Global - Target Risk ,Fixed Asset Allocation,Arbitrary Weighting,Idiosyncratic,Proprietary,Proprietary
AOM,iShares Core Moderate Allocation,Blackrock,Asset Allocation,11/04/2008,15.0,"1,322,220,172.7",Target Risk,Moderate,Asset Allocation: Global - Target Risk ,Fixed Asset Allocation,Arbitrary Weighting,Idiosyncratic,Proprietary,Proprietary
AOR,iShares Core Growth Allocation,Blackrock,Asset Allocation,11/04/2008,15.0,"1,888,194,184.3",Target Outcome,Capital Appreciation,Asset Allocation: Global - Target Outcome ,Fixed Asset Allocation,Arbitrary Weighting,Idiosyncratic,Proprietary,Proprietary
AOTG,AOT Growth and Innovation,Alpha Architect,Equity,06/29/2022,75.0,"25,935,259.0",Total Market,Growth,Equity: U.S. - Total Market Growth,Active,Active,Active,Proprietary,Proprietary
APCB,ActivePassive Core Bond,Envestnet,Fixed Income,05/03/2023,36.0,"99,932,595.0",Broad Credit,Broad Maturities,"Fixed Income: U.S. - Broad Market, Broad-based",Active,Active,Active,Proprietary,Proprietary
APIE,ActivePassive International Equity,Envestnet,Equity,05/03/2023,45.0,"77,023,785.0",Total Market,Broad-based,Equity: Global Ex-U.S.  -  Total Market,Active,Active,Active,Proprietary,Proprietary
APLY,YieldMax AAPL Option Income Strategy,Tidal,Equity,04/17/2023,99.0,"58,279,935.0",Information Technology,Technology Hardware Storage & Peripheral,Equity: U.S. - Technology Hardware Storage & Peripheral,Buy-write,Technical,Strategic,Single Asset,Single Asset
APMU,ActivePassive Intermediate Municipal Bond,Envestnet,Fixed Income,05/03/2023,35.0,"30,490,375.0",Broad Credit,Intermediate,"Fixed Income: U.S. - Government, Local Authority/Municipal Intermediate",Active,Active,Active,Proprietary,Proprietary
APRD,Innovator Premium Income 10 Barrier - April,Innovator,Equity,04/03/2023,79.0,"10,722,750.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Buy-write,Technical,Strategic,Fixed,Fixed
APRH,Innovator Premium Income 20 Barrier - April,Innovator,Equity,04/03/2023,79.0,"28,215,000.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Buy-write,Technical,Strategic,Fixed,Fixed
APRJ,Innovator Premium Income 30 Barrier - April,Innovator,Equity,04/03/2023,79.0,"50,341,500.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Buy-write,Technical,Strategic,Fixed,Fixed
APRQ,Innovator Premium Income 40 Barrier - April,Innovator,Equity,04/03/2023,79.0,"37,789,500.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Buy-write,Technical,Strategic,Fixed,Fixed
APRT,AllianzIM US Large Cap Buffer10 Apr,Allianz,Equity,05/28/2020,74.0,"33,441,870.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Buy-write,Technical,Strategic,Fixed,Fixed
APRW,AllianzIM US Large Cap Buffer20 Apr,Allianz,Equity,05/28/2020,74.0,"136,817,920.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Buy-write,Technical,Strategic,Fixed,Fixed
APRZ,TrueShares Structured Outcome (April),TrueMark Group,Equity,03/31/2021,79.0,"4,957,200.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Buy-write,Technical,Strategic,Fixed,Fixed
APUE,ActivePassive U.S. Equity,Envestnet,Equity,05/03/2023,33.0,"180,280,582.5",Total Market,Broad-based,Equity: U.S.  -  Total Market,Active,Active,Active,Proprietary,Proprietary
AQWA,Global X Clean Water,"Mirae Asset Global Investments Co., Ltd.",Equity,04/08/2021,50.0,"9,321,250.5",Theme,Water,Equity: Global Water,ESG,Social Criteria,Idiosyncratic,Principles-based,Market Cap
ARB,AltShares Merger Arbitrage,Water Island Capital,Alternatives,05/07/2020,76.0,"73,255,893.8",Long/Short,Merger Arbitrage,Alternatives: Hedge Fund Strategies,Multi-factor,Hybrid,Strategic,Multi-Factor,Multi-Factor
ARCM,Arrow Reserve Capital Management,Arrow Funds,Fixed Income,03/31/2017,50.0,"50,877,600.0",Investment Grade,Short-Term,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade Short-Term",Active,Active,Active,Proprietary,Proprietary
ARGT,Global X MSCI Argentina,"Mirae Asset Global Investments Co., Ltd.",Equity,03/02/2011,59.0,"73,397,081.6",Total Market,Broad-based,Equity: Argentina  -  Total Market,Vanilla,Vanilla,Vanilla,Market Cap,Market Cap
ARKF,ARK Fintech Innovation,ARK,Equity,02/04/2019,75.0,"905,772,550.0",Theme,FinTech,Equity: Global FinTech,Active,Active,Active,Proprietary,Proprietary
ARKG,ARK Genomic Revolution,ARK,Equity,10/31/2014,75.0,"2,082,060,250.0",Theme,Genomic Advancements,Equity: Global Genomic Advancements,Active,Active,Active,Proprietary,Proprietary
ARKK,ARK Innovation,ARK,Equity,10/31/2014,75.0,"7,930,384,700.0",Theme,Broad Thematic,Equity: Global Broad Thematic,Active,Active,Active,Proprietary,Proprietary
ARKQ,ARK Autonomous Technology & Robotics,ARK,Equity,09/30/2014,75.0,"1,074,273,300.0",Theme,Robotics & AI,Equity: Global Robotics & AI,Active,Active,Active,Proprietary,Proprietary
ARKW,ARK Next Generation Internet,ARK,Equity,09/30/2014,88.0,"1,372,494,000.0",Theme,Internet,Equity: Global Internet,Active,Active,Active,Proprietary,Proprietary
ARKX,ARK Space Exploration & Innovation,ARK,Equity,03/30/2021,70.0,"277,086,900.0",Theme,Space,Equity: Global Space,Active,Active,Active,Proprietary,Proprietary
ARMR,Armor US Equity Index,Exchange Traded Concepts,Equity,02/11/2020,60.0,"28,843,050.0",Total Market,Broad-based,Equity: U.S.  -  Total Market,Technical,Technical,Strategic,Proprietary,Market Cap
ARP,PMV Adaptive Risk Parity,PMV Capital Advisers LLC,Alternatives,12/21/2022,138.0,"24,125,591.9",Global Macro,Risk Parity,Alternatives: Hedge Fund Strategies,Active,Active,Active,Proprietary,Proprietary
ARVR,First Trust Indxx Metaverse,First Trust,Equity,04/19/2022,70.0,"1,531,711.3",Theme,Internet,Equity: Global Internet,Vanilla,Vanilla,Vanilla,Committee,Tiered
ASEA,Global X FTSE Southeast Asia,"Mirae Asset Global Investments Co., Ltd.",Equity,02/17/2011,65.0,"45,479,455.9",Total Market,Broad-based,Equity: Southeast Asia  -  Total Market,Vanilla,Vanilla,Vanilla,Market Cap,Market Cap
ASET,FlexShares Real Assets Allocation Index Fund,Northern Trust,Asset Allocation,11/23/2015,57.0,"19,351,959.8",Target Outcome,Capital Appreciation,Asset Allocation: Global - Target Outcome ,Technical,Technical,Strategic,Fixed,Technical
ASHR,Xtrackers Harvest CSI 300 China A-Shares,Deutsche Bank,Equity,11/06/2013,65.0,"1,990,557,526.4",Total Market,Broad-based,Equity: China  -  Total Market,Vanilla,Vanilla,Vanilla,Market Cap,Market Cap
ASHS,Xtrackers Harvest CSI 500 China A-Shares Small Cap,Deutsche Bank,Equity,05/21/2014,65.0,"24,225,878.5",Small Cap,Broad-based,Equity: China  -  Small Cap,Vanilla,Vanilla,Vanilla,Market Cap,Market Cap
ASHX,Xtrackers MSCI China A Inclusion Equity,Deutsche Bank,Equity,10/20/2015,60.0,"5,012,020.0",Total Market,Broad-based,Equity: China  -  Total Market,Vanilla,Vanilla,Vanilla,Market Cap,Market Cap
ASPY,ASYMmetric Smart S&P 500,ASYMmetric ETFs,Equity,03/10/2021,99.0,"19,140,454.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Technical,Technical,Strategic,Fixed,Technical
ATFV,Alger 35,Alger,Equity,05/03/2021,55.0,"13,405,000.0",Total Market,Growth,Equity: Global - Total Market Growth,Active,Active,Active,Proprietary,Proprietary
ATMP,Barclays ETN+ Select MLP ETN,Barclays ,Equity,03/13/2013,95.0,"280,240,841.1",Energy,MLPs,Equity: U.S. MLPs,Fundamental,Bottom-up,Strategic,Fundamental,Tiered
AUGT,AllianzIM U.S. Large Cap Buffer10 Aug,Allianz,Equity,07/31/2023,74.0,"51,324,295.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Buy-write,Technical,Strategic,Fixed,Fixed
AUGW,AllianzIM U.S. Large Cap Buffer20 Aug,Allianz,Equity,07/31/2023,74.0,"148,338,337.5",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Buy-write,Technical,Strategic,Fixed,Fixed
AUGZ,TrueShares Structured Outcome (August),TrueMark Group,Equity,07/31/2020,80.0,"15,943,945.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Buy-write,Technical,Strategic,Fixed,Fixed
AUSF,Global X Adaptive U.S. Factor,"Mirae Asset Global Investments Co., Ltd.",Equity,08/24/2018,27.0,"177,294,986.7",Total Market,Broad-based,Equity: U.S.  -  Total Market,Multi-factor,Hybrid,Strategic,Multi-Factor,Multi-Factor
AVDE,Avantis International Equity,American Century Investments,Equity,09/24/2019,23.0,"3,205,689,470.0",Total Market,Broad-based,Equity: Developed Markets Ex-U.S.  -  Total Market,Active,Active,Active,Proprietary,Proprietary
AVDS,Avantis International Small Cap Equity,American Century Investments,Equity,07/18/2023,30.0,"3,888,056.0",Small Cap,Broad-based,Equity: Global Ex-U.S.  -  Small Cap,Active,Active,Active,Proprietary,Proprietary
AVDV,Avantis International Small Cap Value,American Century Investments,Equity,09/24/2019,36.0,"3,452,103,882.0",Small Cap,Value,Equity: Developed Markets Ex-U.S. - Small Cap Value,Active,Active,Active,Proprietary,Proprietary
AVEM,Avantis Emerging Markets Equity,American Century Investments,Equity,09/17/2019,33.0,"3,810,755,020.0",Total Market,Broad-based,Equity: Emerging Markets  -  Total Market,Active,Active,Active,Proprietary,Proprietary
AVES,Avantis Emerging Markets Value,American Century Investments,Equity,09/28/2021,36.0,"289,258,200.0",Total Market,Value,Equity: Emerging Markets  -  Total Market Value,Active,Active,Active,Proprietary,Proprietary
AVGE,Avantis All Equity Markets,American Century Investments,Equity,09/29/2022,23.0,"219,808,746.5",Total Market,Broad-based,Equity: Global  -  Total Market,Active,Active,Active,Proprietary,Proprietary
AVGV,Avantis All Equity Markets Value,American Century Investments,Equity,06/27/2023,26.0,"18,405,205.0",Total Market,Value,Equity: Global  - Total Market Value,Active,Active,Active,Proprietary,Proprietary
AVIE,Avantis Inflation Focused Equity,American Century Investments,Equity,09/29/2022,25.0,"3,440,856.0",Total Market,Broad-based,Equity: U.S.  -  Total Market,Active,Active,Active,Proprietary,Proprietary
AVIG,Avantis Core Fixed Income,American Century Investments,Fixed Income,10/13/2020,15.0,"514,252,620.0",Investment Grade,Broad Maturities,"Fixed Income: Global - Broad Market, Broad-based Investment Grade",Active,Active,Active,Proprietary,Proprietary
AVIV,Avantis International Large Cap Value,American Century Investments,Equity,09/28/2021,25.0,"251,854,956.0",Large Cap,Value,Equity: Developed Markets Ex-U.S. Large Cap Value,Active,Active,Active,Proprietary,Proprietary
AVLV,Avantis U.S. Large Cap Value,American Century Investments,Equity,09/21/2021,15.0,"1,483,949,068.0",Large Cap,Value,Equity: U.S.  -  Large Cap Value,Active,Active,Active,Proprietary,Proprietary
AVMA,Avantis Moderate Allocation,American Century Investments,Asset Allocation,06/29/2023,21.0,"2,057,588.0",Target Risk,Moderate,Asset Allocation: Global - Target Risk ,Active,Active,Active,Proprietary,Proprietary
AVMU,Avantis Core Municipal Fixed Income,American Century Investments,Fixed Income,12/08/2020,15.0,"86,745,450.0",Investment Grade,Broad Maturities,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade",Active,Active,Active,Proprietary,Proprietary
