Date,IN
2017-01-22,2.39
2017-01-29,-6.53
2017-02-05,-10.18
2017-02-12,-11.92
2017-02-19,-9.44
2017-02-26,-7.33
2017-03-05,-10.46
2017-03-12,-11.36
2017-03-19,-9.79
2017-03-26,-6.49
2017-04-02,-5.64
2017-04-09,-6.44
2017-04-16,-10.93
2017-04-23,-9.23
2017-04-30,-7.51
2017-05-07,-5.49
2017-05-14,-3.83
2017-05-21,-2.85
2017-05-28,-0.17
2017-06-04,-0.19
2017-06-11,-3.02
2017-06-18,0.28
2017-06-25,-4.02
2017-07-02,-4.71
2017-07-09,-5.03
2017-07-16,-7.78
2017-07-23,-9.39
2017-07-30,-7.31
2017-08-06,-7.72
2017-08-13,-11.33
2017-08-20,-10.64
2017-08-27,-11.81
2017-09-03,-14.43
2017-09-10,-15.44
2017-09-17,-14.17
2017-09-24,-18.22
2017-10-01,-17.06
2017-10-08,-17.06
2017-10-15,-11.66
2017-10-22,-5.72
2017-10-29,-6.52
2017-11-05,-0.6
2017-11-12,-7.39
2017-11-19,-9.72
2017-11-26,-8.89
2017-12-03,-8.57
2017-12-10,-11.09
2017-12-17,-9.6
2017-12-24,-11.49
2017-12-31,-8.31
2018-01-07,-8.57
2018-01-14,-6.78
2018-01-21,-5.48
2018-01-28,1.31
2018-02-04,-1.19
2018-02-11,-5.09
2018-02-18,-7.28
2018-02-25,-4.42
2018-03-04,-7.01
2018-03-11,-5.64
2018-03-18,-2.81
2018-03-25,-6.35
2018-04-01,-0.86
2018-04-08,-1.74
2018-04-15,-1.4
2018-04-22,-1.5
2018-04-29,-4.66
2018-05-06,-5.32
2018-05-13,-6.6
2018-05-20,-4.38
2018-05-27,-12.28
2018-06-03,-13.04
2018-06-10,-12.93
2018-06-17,-12.2
2018-06-24,-15.84
2018-07-01,-16.43
2018-07-08,-16.45
2018-07-15,-18.3
2018-07-22,-18.28
2018-07-29,-19.94
2018-08-05,-15.72
2018-08-12,-17.9
2018-08-19,-17.64
2018-08-26,-14.9
2018-09-02,-16.24
2018-09-09,-11.9
2018-09-16,-8.55
2018-09-23,-6.33
2018-09-30,-8.57
2018-10-07,-11.67
2018-10-14,-18.19
2018-10-21,-21.21
2018-10-28,-23.55
2018-11-04,-20.67
2018-11-11,-19.05
2018-11-18,-14.9
2018-11-25,-15.8
2018-12-02,-13.17
2018-12-09,-12.25
2018-12-16,-10.34
2018-12-23,-8.96
2018-12-30,-10.96
2019-01-06,-12.4
2019-01-13,-11.84
2019-01-20,-9.58
2019-01-27,-14.53
2019-02-03,-14.6
2019-02-10,-7.78
2019-02-17,-5.14
2019-02-24,-4.45
2019-03-03,-4.08
2019-03-10,-5.55
2019-03-17,-8.23
2019-03-24,-11.5
2019-03-31,-14.5
2019-04-07,-10.67
2019-04-14,-8.15
2019-04-21,-11.25
2019-04-28,-12.47
2019-05-05,-9.79
2019-05-12,-13.77
2019-05-19,-15.99
2019-05-26,-13.35
2019-06-02,-9.86
2019-06-09,-10.91
2019-06-16,-7.74
2019-06-23,0.16
2019-06-30,-1.63
2019-07-07,1.4
2019-07-14,-1.39
2019-07-21,2.6
2019-07-28,-0.81
2019-08-04,1.88
2019-08-11,-1.56
2019-08-18,-0.77
2019-08-25,0.04
2019-09-01,1.08
2019-09-08,0.52
2019-09-15,-0.96
2019-09-22,-1.91
2019-09-29,-6.51
2019-10-06,0.74
2019-10-13,8.15
2019-10-20,8.21
2019-10-27,9.17
2019-11-03,12.33
2019-11-10,8.42
2019-11-17,8.29
2019-11-24,4.94
2019-12-01,2.54
2019-12-08,2.09
2019-12-15,2.2
2019-12-22,1.19
2019-12-29,2.55
2020-01-05,0.64
2020-01-12,-4.82
2020-01-19,-5.53
2020-01-26,-6.08
2020-02-02,-10.69
2020-02-09,-7.48
2020-02-16,-10.37
2020-02-23,-16.65
2020-03-01,-23.09
2020-03-08,-20.75
2020-03-15,-29.91
2020-03-22,-39.57
2020-03-29,-32.91
2020-04-05,-34.27
2020-04-12,-26.8
2020-04-19,-26.68
2020-04-26,-25.18
2020-05-03,-23.95
2020-05-10,-23.95
2020-05-17,-23.13
2020-05-24,-18.42
2020-05-31,-15.04
2020-06-07,-11.21
2020-06-14,-19.54
2020-06-21,-20.61
2020-06-28,-21.85
2020-07-05,-20.09
2020-07-12,-20.33
2020-07-19,-17.69
2020-07-26,-18.83
2020-08-02,-18.14
2020-08-09,-10.85
2020-08-16,-10.86
2020-08-23,-18.84
2020-08-30,-16.96
2020-09-06,-16.34
2020-09-13,-15.14
2020-09-20,-13.17
2020-09-27,-17.67
2020-10-04,-14.46
2020-10-11,-10.62
2020-10-18,-10.54
2020-10-25,-7.5
2020-11-01,-11.07
2020-11-08,-8.82
2020-11-15,1.82
2020-11-22,0.01
2020-11-29,0.33
2020-12-06,3.36
2020-12-13,6.08
2020-12-20,6.69
2020-12-27,5.2
2021-01-03,7.25
2021-01-10,21.1
2021-01-17,16.18
2021-01-24,22.95
2021-01-31,21.37
2021-02-07,35.49
2021-02-14,32.47
2021-02-21,36.44
2021-02-28,45.32
2021-03-07,45.43
2021-03-14,68.67
2021-03-21,124.75
2021-03-28,114.01
2021-04-04,96.74
2021-04-11,77.11
2021-04-18,82.36
2021-04-25,78.27
2021-05-02,80.76
2021-05-09,92.86
2021-05-16,95.29
2021-05-23,89.08
2021-05-30,96.16
2021-06-06,81.93
2021-06-13,85.64
2021-06-20,91.74
2021-06-27,100.71
2021-07-04,96.38
